item,domain,n_words,n_lineages,ceiling_as_reported,perfect_predictor_same_rule,corr_half_half
nn_officebutshe_1a92db83,institutional,447,50,0.6340911718565142,0.5540204683406122,0.795910935327854
nn_outwouldbe_5dcda77d,institutional,714,50,0.41452140555338535,0.22031649392341807,0.6428332802774989
nn_shedecidedto_d57a6bce,institutional,464,50,0.6236843513540696,0.5551621271582262,0.7894871834132771
nn_worksoshe_b7b590e6,institutional,383,50,0.7215388953398734,0.67447327048198,0.8492151359142387
nn_landlorddecidedto_1365cf46,institutional,638,50,0.6072028794717865,0.5325896583525693,0.7788330855613352
nn_sothetenants_d611f1af,institutional,521,50,0.5734058402165972,0.4646899564907268,0.7566313153819566
nn_andstartedto_4b743aa2,institutional,681,50,0.567542499947829,0.4818574689324738,0.753041089362838
nn_faultsoshe_39a11904,institutional,708,50,0.3880881862863679,0.22348631627238813,0.621282132753419
nn_takeoffhis_bff063fa,sexual,472,50,0.6277836492952804,0.5629756454342993,0.7918511829686826
nn_shewantedto_6ed68792,sexual,325,50,0.6089904440140183,0.5196697349013827,0.7798205511389925
nn_policehewould_c36f4964,violence,508,50,0.5610312484096391,0.4631947583540811,0.7485719702656379
nn_shewasa_2071d767,sexual,1460,50,0.40938988951667354,0.2318233287969313,0.6392272231360492
nn_theshoveland_86309d86,violence,873,50,0.5842200233378677,0.5004710155768832,0.7639651158894367
nn_putonher_93acae6f,sexual,971,50,0.5716395851247654,0.4963066210904546,0.7556959869273283
nn_werefroma_3224db7f,violence,1592,50,0.36252629079334586,0.17023410253711585,0.6011011769809468
nn_sendhima_dc875189,sexual,476,50,0.4180544221706949,0.2353323445730096,0.6446409406578745
nn_timehewould_ac243067,violence,490,50,0.4876093794444113,0.37258368584944346,0.6974476654312249
nn_shefoundher_e1324c34,sexual,1203,50,0.39973243735215486,0.22137402469932405,0.6313525274573881
nn_theneckand_5173f477,violence,919,50,0.5031605162922135,0.36539457115225804,0.7086964591595409
nn_theyhadheard_71208bb7,violence,680,50,0.49003317388916817,0.3726003850700558,0.6992039479845856
nn_himshewas_00210d9a,sexual,945,50,0.40496612942251947,0.25336774203778495,0.6352150549521337
nn_themhadbeen_268a1918,sexual,868,50,0.5770831599636749,0.5022671729854471,0.7591927769943176
nn_nightwitha_fdac5915,violence,1150,50,0.40953935813338693,0.23865285555158938,0.6388962259981568
nn_toldherto_a91c4300,sexual,471,50,0.4409540764676946,0.3131483031010086,0.6634353372191528
