base,aligned,n_cells,n_layers,coverage,dW,full,readout,state,unembed_only,norm_only,share_readable,readout_share,state_share,onset,n_onset
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,6,24,0.37659306824207306,0.01817634329199791,-0.2304074764251709,-0.03594116369883249,-0.19803222020467093,-0.03594116369883249,0.0,1,0.15598957228501675,0.8594869544911906,0.9583333333333334,6
google/gemma-2-9b,google/gemma-2-9b-it,6,42,0.843107283115387,0.1103162094950676,-0.23828752835591605,0.02558521429697702,-0.5152614514032998,0.01805746555328369,0.0076941649119062205,1,-0.10737118502803845,2.162351739339392,0.7619047619047619,4
google/recurrentgemma-9b,google/recurrentgemma-9b-it,6,38,0.9968305230140686,0.02959725819528103,-1.3198798894882202,-0.21985451380411813,-0.9199794133504238,-0.21985451380411813,0.0,1,0.16657160667048734,0.6970175246075938,1.0,5
ibm-granite/granite-3.0-8b-base,ibm-granite/granite-3.0-8b-instruct,6,40,0.11326342448592186,0.5806334614753723,0.07310402393341064,0.25967550277710005,0.11690155665079782,0.25895043214162206,0.006855765978495576,0,nan,nan,1.0,4
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,6,32,0.9192804992198944,0.03681154549121857,-0.5253190199534101,-0.06431845823923776,-0.45711636543273926,-0.06431845823923776,0.0,1,0.12243694935116205,0.8701690745430849,0.96875,5
meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,6,32,0.7652968466281891,0.06291704624891281,-0.45452924569447894,-0.4009351332982387,-0.155714750289917,-0.40162118275960346,0.0004464785257969339,1,0.8820887480752677,0.34258466702620893,0.921875,6
tiiuae/Falcon3-7B-Base,tiiuae/Falcon3-7B-Instruct,6,28,0.7664880156517029,0.0706900954246521,0.32037627696990967,-0.38331552346547415,0.8237272103627529,-0.3833713531494136,0.00023527940114398405,0,nan,nan,1.0,5
tiiuae/falcon-mamba-7b,tiiuae/falcon-mamba-7b-instruct,6,64,3.1137592504393297e-11,0.0019816902931779623,-0.0052527586619062205,0.0010582605997719874,-0.0075261592864990234,0.0010367234547929982,2.284844716360368e-05,0,nan,nan,0.984375,1
zai-org/glm-4-9b-hf,zai-org/glm-4-9b-chat-hf,6,40,0.6179167628288269,0.13295824825763702,-0.032661477724711396,-0.3545624017715454,0.5713079770406084,-0.3544907967249551,0.0036491950352983693,0,nan,nan,1.0,5
