model,n_prompts,mean,breadth,intensity,mean_pct,breadth_pct,intensity_pct,max_dev,labelled_share,cjk_share
croissantllm/CroissantLLMBase,2189,0.013485672364105012,0.455459113750571,0.029608963696114213,42.857142857142854,48.214285714285715,51.785714285714285,7.142857142857146,0.017566802056668225,0.0003430905235824616
kakaocorp/kanana-2-3b-base,2189,0.013537464713540979,0.455459113750571,0.029722678292819663,44.642857142857146,50.0,57.142857142857146,7.142857142857146,0.01722968848346538,0.00014496108584514486
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,2189,0.013561821718933694,0.46048423937871175,0.02945121799875581,46.42857142857143,57.142857142857146,50.0,7.142857142857146,0.01704592583437072,0.00012759107842393966
kakaocorp/kanana-1.5-8b-base,2189,0.013435617296490714,0.44860666971219737,0.02994966014462136,41.07142857142857,42.857142857142854,60.714285714285715,10.714285714285715,0.017077015819085856,0.0002218922221031386
tiiuae/Falcon-H1-7B-Base,2189,0.013267473613633108,0.4563727729556875,0.02907157131155443,37.5,53.57142857142857,37.5,12.5,0.016720672748665816,0.00019650575412181675
stabilityai/stablelm-2-1_6b,2189,0.013363374319919484,0.4440383736866149,0.030095088874798098,39.285714285714285,35.714285714285715,62.5,14.285714285714285,0.017032284296248562,0.00017965695452892057
tiiuae/Falcon3-Mamba-7B-Base,2189,0.014014708119063845,0.4719049794426679,0.029698156895092694,51.785714285714285,64.28571428571429,55.357142857142854,14.285714285714292,0.017684664922803107,0.00019011998718711158
RWKV/rwkv-4-7b-pile,2189,0.014305945285500814,0.47875742348104156,0.029881406707978325,57.142857142857146,69.64285714285714,58.92857142857143,19.64285714285714,0.018040301037828024,0.0001879807826812714
allenai/Olmo-Hybrid-7B,2189,0.012913602597155556,0.45454545454545453,0.028409925713742224,30.357142857142858,46.42857142857143,30.357142857142858,19.642857142857142,0.016354505517227984,0.00019920663921417937
baichuan-inc/Baichuan2-7B-Base,2189,0.013095694722670343,0.46185472818638645,0.02835457541832382,32.142857142857146,58.92857142857143,28.571428571428573,21.428571428571427,0.016420996033115635,0.0002466498806430988
Zyphra/Zamba2-7B,2189,0.014633309594910762,0.47967108268615805,0.030506966384056818,69.64285714285714,71.42857142857143,64.28571428571429,21.42857142857143,0.018018070629301743,0.0003184146793471401
OpenLLM-France/Lucie-7B,2189,0.014080325616512873,0.4412973960712654,0.031906659186901325,53.57142857142857,32.142857142857146,73.21428571428571,23.214285714285708,0.017756404276493182,0
tiiuae/Falcon3-7B-Base,2189,0.012764038965731379,0.4472361809045226,0.028539817462702746,26.785714285714285,41.07142857142857,32.142857142857146,23.214285714285715,0.016101964064790236,0.0002792601597952694
allenai/Olmo-3-1025-7B,2189,0.012534149162709732,0.43490178163544996,0.02882064340039034,25.0,26.785714285714285,35.714285714285715,25.0,0.015833535267816983,0.00016329383797248273
