model,n_prompts,mean,breadth,intensity,mean_pct,breadth_pct,intensity_pct,max_dev,labelled_share,cjk_share
croissantllm/CroissantLLMBase,2189,0.013485672364105012,0.455459113750571,0.029608963696114213,42.857142857142854,48.214285714285715,51.785714285714285,7.142857142857146,0.017566802056668225,0.0003430905235824616
kakaocorp/kanana-2-3b-base,2189,0.013537464713540979,0.455459113750571,0.029722678292819663,44.642857142857146,50.0,57.142857142857146,7.142857142857146,0.01722968848346538,0.00014496108584514486
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,2189,0.013561821718933694,0.46048423937871175,0.02945121799875581,46.42857142857143,57.142857142857146,50.0,7.142857142857146,0.01704592583437072,0.00012759107842393966
kakaocorp/kanana-1.5-8b-base,2189,0.013435617296490714,0.44860666971219737,0.02994966014462136,41.07142857142857,42.857142857142854,60.714285714285715,10.714285714285715,0.017077015819085856,0.0002218922221031386
tiiuae/Falcon-H1-7B-Base,2189,0.013267473613633108,0.4563727729556875,0.02907157131155443,37.5,53.57142857142857,37.5,12.5,0.016720672748665816,0.00019650575412181675
stabilityai/stablelm-2-1_6b,2189,0.013363374319919484,0.4440383736866149,0.030095088874798098,39.285714285714285,35.714285714285715,62.5,14.285714285714285,0.017032284296248562,0.00017965695452892057
tiiuae/Falcon3-Mamba-7B-Base,2189,0.014014708119063845,0.4719049794426679,0.029698156895092694,51.785714285714285,64.28571428571429,55.357142857142854,14.285714285714292,0.017684664922803107,0.00019011998718711158
RWKV/rwkv-4-7b-pile,2189,0.014305945285500814,0.47875742348104156,0.029881406707978325,57.142857142857146,69.64285714285714,58.92857142857143,19.64285714285714,0.018040301037828024,0.0001879807826812714
allenai/Olmo-Hybrid-7B,2189,0.012913602597155556,0.45454545454545453,0.028409925713742224,30.357142857142858,46.42857142857143,30.357142857142858,19.642857142857142,0.016354505517227984,0.00019920663921417937
baichuan-inc/Baichuan2-7B-Base,2189,0.013095694722670343,0.46185472818638645,0.02835457541832382,32.142857142857146,58.92857142857143,28.571428571428573,21.428571428571427,0.016420996033115635,0.0002466498806430988
Zyphra/Zamba2-7B,2189,0.014633309594910762,0.47967108268615805,0.030506966384056818,69.64285714285714,71.42857142857143,64.28571428571429,21.42857142857143,0.018018070629301743,0.0003184146793471401
OpenLLM-France/Lucie-7B,2189,0.014080325616512873,0.4412973960712654,0.031906659186901325,53.57142857142857,32.142857142857146,73.21428571428571,23.214285714285708,0.017756404276493182,0
tiiuae/Falcon3-7B-Base,2189,0.012764038965731379,0.4472361809045226,0.028539817462702746,26.785714285714285,41.07142857142857,32.142857142857146,23.214285714285715,0.016101964064790236,0.0002792601597952694
allenai/Olmo-3-1025-7B,2189,0.012534149162709732,0.43490178163544996,0.02882064340039034,25.0,26.785714285714285,35.714285714285715,25.0,0.015833535267816983,0.00016329383797248273
internlm/internlm2-base-7b,2189,0.012345222177274514,0.4371859296482412,0.028237921991696877,23.214285714285715,30.357142857142858,25.0,26.785714285714285,0.015221470988681478,0.00024242353465610118
tiiuae/Falcon3-10B-Base,2189,0.01320901798037137,0.4280493375970763,0.030858634321273132,33.92857142857143,23.214285714285715,69.64285714285714,26.785714285714285,0.0165293939903951,0.00021241410050966148
allenai/Olmo-3-1125-32B,2189,0.014656916435109926,0.45089081772498857,0.03250657555871898,71.42857142857143,44.642857142857146,76.78571428571429,26.785714285714292,0.018275189974509318,0.00018839667495880794
bigscience/bloom-7b1,2189,0.014947920132810441,0.48789401553220646,0.030637637800301553,75.0,76.78571428571429,67.85714285714286,26.785714285714292,0.019368923288464405,0.00023251683127105296
HuggingFaceTB/SmolLM3-3B-Base,2189,0.01449667711591278,0.488807674737323,0.029657220753956146,64.28571428571429,78.57142857142857,53.57142857142857,28.57142857142857,0.0184764796779758,0.00024511380635865095
tiiuae/falcon-7b,2189,0.015316821015220859,0.47144814984010963,0.032488877134029516,78.57142857142857,62.5,75.0,28.57142857142857,0.01920453005398,0.00024611894890361376
EleutherAI/pythia-2.8b,2189,0.013218514104286785,0.4728186386477844,0.027956838042786255,35.714285714285715,67.85714285714286,19.642857142857142,30.357142857142858,0.01674674212936711,0.00022891819485483866
m-a-p/neo_7b,2189,0.012034136028006053,0.42485153037916856,0.02832550942505941,19.642857142857142,21.428571428571427,26.785714285714285,30.357142857142858,0.015243090486704957,0.0002628029444054535
01-ai/Yi-1.5-9B,2189,0.014449384357040653,0.43672910004568294,0.03308546271711505,60.714285714285715,28.571428571428573,82.14285714285714,32.14285714285714,0.01794141309753707,0.00023750064920972846
gl198976/mpt-7b,2189,0.015420592371806333,0.4723618090452261,0.032645722148824045,82.14285714285714,66.07142857142857,78.57142857142857,32.14285714285714,0.019237599014072335,0.0002002873591165822
inceptionai/jais-family-6p7b,2189,0.013855170813823935,0.4910918227501142,0.028212994336242414,48.214285714285715,82.14285714285714,23.214285714285715,32.14285714285714,0.017564191344322654,0.000144100138936742
Qwen/Qwen3-8B-Base,2189,0.012287231376217915,0.4020100502512563,0.030564488048342067,21.428571428571427,16.071428571428573,66.07142857142857,33.92857142857143,0.015339260603313417,0.0002933164050181554
tiiuae/falcon-mamba-7b,2189,0.014389857515399732,0.4910918227501142,0.0293017656755442,58.92857142857143,83.92857142857143,44.642857142857146,33.92857142857143,0.01786960121418832,0.0002205270115587894
zai-org/glm-4-9b-hf,2189,0.014780265094043095,0.44266788487894015,0.033389061187678364,73.21428571428571,33.92857142857143,83.92857142857143,33.92857142857143,0.018646130778655772,0.0002169185289410392
