dose,table,lang,target,med_slope,up,dn,n,p
lift,fields,en,A9+,0.015748169017340333,37,12,49,0.0004697573180081349
lift,fields,en,M2,0.009967488751970623,35,14,49,0.003801654409748778
lift,fields,en,Z5,0.005888333482657469,33,17,50,0.032839137564268484
lift,fields,en,A3+,0.007837205812172777,30,20,50,0.20263875106454066
lift,fields,en,B1,-0.0035733514076461137,22,28,50,0.47988766169832786
lift,fields,en,M1,0.004782654187503933,27,23,50,0.6718110337653656
lift,fields,en,A10+,0.040586725215451924,4,2,6,0.6875
lift,fields,en,Q2.1,0.009134984967995346,11,9,20,0.8238029479980469
lift,fields,en,Q2.2,-0.003018613385408955,2,3,5,1.0
