lineage,language,n_base,n_aligned,median_base,median_aligned,iqr_base,iqr_aligned,iqr_narrows,q1_delta,q2_delta,q3_delta,q4_delta,q5_delta,S_toward_middle
Qwen2.5,en,1946,1967,50000.0,45000.0,82000.0,60000.0,1,-0.033626784388452624,0.0838273966490255,0.06592407822598045,-0.07382238591434934,-0.042302304572203964,1
Qwen2.5,zh,956,974,36950.0,50000.0,79566.0,60000.0,1,-0.18439038430146143,0.05285326437156873,0.0176342219892949,0.0797620990953064,0.03414079884529139,0
SmolLM2,en,1923,1971,45000.0,60000.0,56949.0,40000.0,1,-0.11597413668236228,-0.10634702404838964,0.02050480801576049,0.2031405457131527,-0.0013241929981613332,1
SmolLM2,zh,936,899,18000.0,40000.0,99620.0,98000.0,1,-0.06185529030356618,-0.08085313216013994,0.030557457003508176,0.10495279655457632,0.007198168905621638,0
