base,pref,domain,n_prompts,js_base_sft,js_base_pref,share
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,profanity,15,0.037972,0.039971,0.949979
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,property,208,0.09517,0.101843,0.934479
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,sensation,1,0.081737,0.0852,0.959351
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,sexual,157,0.088689,0.093271,0.95087
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,substance,15,0.079245,0.082557,0.959884
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,taboo,240,0.07971,0.085502,0.932255
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,unconditional,3,0.054319,0.053993,1.006031
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,utilities,14,0.083819,0.083954,0.998399
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,violence,505,0.092849,0.098973,0.938117
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,animal,100,0.124728,0.134264,0.928977
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,banking,14,0.082889,0.146908,0.564225
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,benefits,14,0.112582,0.172098,0.654176
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,betrayal,204,0.09883,0.110279,0.896188
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,civic,14,0.08756,0.123443,0.709314
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,class,30,0.094014,0.113862,0.825678
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,consumer,14,0.070436,0.091389,0.770728
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,contradiction,131,0.102471,0.122308,0.837815
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,death,13,0.084937,0.101969,0.832969
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,disaster,1,0.144707,0.197062,0.734322
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,education,14,0.08814,0.143208,0.615471
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,housing,42,0.099593,0.134414,0.740937
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,identity,4,0.264658,0.432853,0.611427
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,immigration,14,0.071979,0.080414,0.895111
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,institutional,93,0.136904,0.173422,0.789429
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,insurance,14,0.104491,0.128292,0.814479
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,labor,56,0.107902,0.150066,0.719027
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,medical,28,0.097575,0.130288,0.748923
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,neutral,205,0.124781,0.125495,0.99431
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,other,160,0.084223,0.090915,0.926386
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,police,14,0.080665,0.129141,0.624624
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,power,252,0.080686,0.092541,0.871895
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,profanity,15,0.050609,0.056672,0.893021
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,property,208,0.0997,0.111164,0.896869
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,sensation,1,0.057732,0.068136,0.847306
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,sexual,157,0.124712,0.130188,0.957939
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,substance,15,0.109062,0.124828,0.873697
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,taboo,240,0.095008,0.104418,0.909883
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,unconditional,3,0.138208,0.142793,0.967885
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,utilities,14,0.127309,0.193026,0.659542
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,violence,505,0.127613,0.133239,0.957776
mistralai/Mistral-7B-v0.1,NousResearch/Nous-Hermes-2-Mistral-7B-DPO,animal,100,0.057054,0.062121,0.918424
mistralai/Mistral-7B-v0.1,NousResearch/Nous-Hermes-2-Mistral-7B-DPO,banking,14,0.045231,0.046478,0.973165
mistralai/Mistral-7B-v0.1,NousResearch/Nous-Hermes-2-Mistral-7B-DPO,benefits,14,0.042091,0.045761,0.91981
mistralai/Mistral-7B-v0.1,NousResearch/Nous-Hermes-2-Mistral-7B-DPO,betrayal,204,0.062187,0.065565,0.948481
