scene,prompt,word,n_rise,n_fall,net,n_carriers,median_delta_pp,mean_delta_pp,net_mass,scale,out,n_lineages
tookoff,She slowly took off her,knitted,1,1,0,2,+0.06061,+0.06061,+0.00121,Ccharge,,50
tookoff,She slowly took off her,purple,13,13,0,26,-0.02092,-0.00227,-0.00059,Ccharge,,50
tookoff,She slowly took off her,ripped,1,1,0,2,+0.00436,+0.00436,+0.00009,Ccharge,,50
tookoff,She slowly took off her,shoe,25,25,0,50,+0.00005,+0.12617,+0.06308,Ccharge,-9.0,50
tookoff,She slowly took off her,sl,10,10,0,20,-0.00000,-0.00002,-0.00000,Ccharge,,50
tookoff,She slowly took off her,l,5,5,0,10,-0.00001,-0.00093,-0.00009,Ccharge,,50
tookoff,She slowly took off her,oxygen,1,1,0,2,+0.04595,+0.04595,+0.00092,Ccharge,,50
tookoff,She slowly took off her,sw,2,2,0,4,-0.00002,+0.00022,+0.00001,Ccharge,,50
tookoff,She slowly took off her,big,6,6,0,12,+0.01069,-0.01559,-0.00187,Ccharge,,50
tookoff,She slowly took off her,garment,2,2,0,4,-0.00871,+0.00499,+0.00020,Ccharge,,50
tookoff,She slowly took off her,jean,1,1,0,2,-0.02300,-0.02300,-0.00046,Ccharge,,50
tookoff,She slowly took off her,saree,2,2,0,4,+0.03093,+0.03795,+0.00152,Ccharge,,50
tookoff,She slowly took off her,slip,4,4,0,8,+0.01185,+0.01439,+0.00115,Ccharge,,50
tookoff,She slowly took off her,swims,3,3,0,6,-0.00001,-0.00000,-0.00000,Ccharge,,50
tookoff,She slowly took off her,ho,1,1,0,2,+0.00006,+0.00006,+0.00000,Ccharge,,50
tookoff,She slowly took off her,sari,3,3,0,6,+0.01267,-0.00767,-0.00046,Ccharge,,50
tookoff,She slowly took off her,pumps,1,1,0,2,-0.02937,-0.02937,-0.00059,Ccharge,,50
tookoff,She slowly took off her,trench,8,8,0,16,+0.00018,+0.02176,+0.00348,Ccharge,-20.0,50
tookoff,She slowly took off her,large,6,6,0,12,-0.02203,-0.02619,-0.00314,Ccharge,,50
tookoff,She slowly took off her,eyel,1,1,0,2,-0.00079,-0.00079,-0.00002,Ccharge,,50
tookoff,She slowly took off her,cowboy,1,1,0,2,-0.01524,-0.01524,-0.00030,Ccharge,,50
tookoff,She slowly took off her,purse,3,3,0,6,+0.01230,+0.00536,+0.00032,Ccharge,,50
tookoff,She slowly took off her,crown,5,5,0,10,-0.01530,+0.02090,+0.00209,Ccharge,,50
tookoff,She slowly took off her,jersey,1,1,0,2,+0.00914,+0.00914,+0.00018,Ccharge,,50
tookoff,She slowly took off her,favorite,1,1,0,2,-0.01238,-0.01238,-0.00025,Ccharge,,50
tookoff,She slowly took off her,heel,1,1,0,2,+0.00008,+0.00008,+0.00000,Ccharge,,50
tookoff,She slowly took off her,ki,1,1,0,2,-0.00001,-0.00001,-0.00000,Ccharge,,50
tookoff,She slowly took off her,hija,1,1,0,2,-0.00001,-0.00001,-0.00000,Ccharge,,50
tookoff,She slowly took off her,mud,1,1,0,2,-0.00098,-0.00098,-0.00002,Ccharge,,50
tookoff,She slowly took off her,soiled,1,1,0,2,-0.03240,-0.03240,-0.00065,Ccharge,,50
tookoff,She slowly took off her,shiny,1,1,0,2,-0.04227,-0.04227,-0.00085,Ccharge,,50
tookoff,She slowly took off her,lacy,1,1,0,2,-0.00889,-0.00889,-0.00018,Ccharge,,50
tookoff,She slowly took off her,summer,1,1,0,2,+0.01469,+0.01469,+0.00029,Ccharge,,50
tookoff,She slowly took off her,tee,3,3,0,6,-0.02095,-0.02370,-0.00142,Ccharge,,50
tookoff,She slowly took off her,contact,1,1,0,2,+0.07228,+0.07228,+0.00145,Ccharge,,50
tookoff,She slowly took off her,disgu,1,1,0,2,-0.00001,-0.00001,-0.00000,Ccharge,,50
tookoff,She slowly took off her,___,1,1,0,2,-0.04073,-0.04073,-0.00081,Ccharge,,50
tookoff,She slowly took off her,blanket,1,1,0,2,+0.00483,+0.00483,+0.00010,Ccharge,,50
tookoff,She slowly took off her,borrowed,1,1,0,2,+0.20795,+0.20795,+0.00416,Ccharge,,50
tookoff,She slowly took off her,fake,1,1,0,2,-0.00365,-0.00365,-0.00007,Ccharge,,50
tookoff,She slowly took off her,sat,1,1,0,2,+0.00010,+0.00010,+0.00000,Ccharge,,50
tookoff,She slowly took off her,lo,1,1,0,2,-0.00010,-0.00010,-0.00000,Ccharge,,50
tookoff,She slowly took off her,chem,1,1,0,2,+0.00916,+0.00916,+0.00018,Ccharge,,50
tookoff,She slowly took off her,soft,1,1,0,2,-0.05405,-0.05405,-0.00108,Ccharge,,50
tookoff,She slowly took off her,blood,4,5,-1,9,-0.00315,+0.01679,+0.00151,Ccharge,,50
tookoff,She slowly took off her,denim,2,3,-1,5,-0.01677,+0.01413,+0.00071,Ccharge,,50
tookoff,She slowly took off her,floral,1,2,-1,3,-0.00829,+0.02582,+0.00077,Ccharge,,50
tookoff,She slowly took off her,gray,3,4,-1,7,-0.02213,+0.01075,+0.00075,Ccharge,,50
tookoff,She slowly took off her,grey,4,5,-1,9,-0.03635,-0.02519,-0.00227,Ccharge,,50
tookoff,She slowly took off her,lab,9,10,-1,19,-0.01555,+0.01820,+0.00346,Ccharge,,50
tookoff,She slowly took off her,sock,3,4,-1,7,-0.01060,+0.01824,+0.00128,Ccharge,,50
tookoff,She slowly took off her,bla,2,3,-1,5,-0.00005,-0.00027,-0.00001,Ccharge,,50
tookoff,She slowly took off her,cl,5,6,-1,11,-0.00000,-0.00166,-0.00018,Ccharge,,50
tookoff,She slowly took off her,h,3,4,-1,7,-0.00011,-0.00082,-0.00006,Ccharge,,50
tookoff,She slowly took off her,seatb,1,2,-1,3,-0.00000,-0.00000,-0.00000,Ccharge,,50
tookoff,She slowly took off her,bathing,5,6,-1,11,-0.04194,-0.01412,-0.00155,Ccharge,,50
tookoff,She slowly took off her,sexy,2,3,-1,5,-0.05962,-0.05502,-0.00275,Ccharge,,50
tookoff,She slowly took off her,silky,1,2,-1,3,-0.03428,+0.04531,+0.00136,Ccharge,,50
tookoff,She slowly took off her,bonnet,1,2,-1,3,-0.15197,-0.11080,-0.00332,Ccharge,,50
tookoff,She slowly took off her,collar,2,3,-1,5,-0.05217,-0.02366,-0.00118,Ccharge,-33.5,50
tookoff,She slowly took off her,sweats,1,2,-1,3,-0.00360,+0.01958,+0.00059,Ccharge,,50
tookoff,She slowly took off her,spectacles,12,13,-1,25,-0.01902,+0.09532,+0.02383,Ccharge,-15.0,50
tookoff,She slowly took off her,lips,1,2,-1,3,-0.00785,+0.00328,+0.00010,Ccharge,,50
tookoff,She slowly took off her,sandal,2,3,-1,5,-0.00147,+0.00622,+0.00031,Ccharge,,50
tookoff,She slowly took off her,stile,1,2,-1,3,-0.00000,+0.00006,+0.00000,Ccharge,,50
tookoff,She slowly took off her,cotton,1,2,-1,3,-0.06208,-0.02627,-0.00079,Ccharge,,50
tookoff,She slowly took off her,body,1,2,-1,3,-0.06891,-0.04023,-0.00121,Ccharge,,50
tookoff,She slowly took off her,last,2,3,-1,5,-0.01514,+0.00141,+0.00007,Ccharge,,50
tookoff,She slowly took off her,baggy,1,2,-1,3,-0.10748,-0.03008,-0.00090,Ccharge,,50
tookoff,She slowly took off her,__,1,2,-1,3,-0.00101,+0.01530,+0.00046,Ccharge,,50
tookoff,She slowly took off her,____,1,2,-1,3,-0.73530,-0.49915,-0.01497,Ccharge,,50
tookoff,She slowly took off her,______,1,2,-1,3,-0.03113,-0.05132,-0.00154,Ccharge,,50
tookoff,She slowly took off her,sil,3,4,-1,7,-0.00000,-0.00002,-0.00000,Ccharge,,50
tookoff,She slowly took off her,armour,1,2,-1,3,-0.09984,-0.06550,-0.00197,Ccharge,,50
tookoff,She slowly took off her,turban,1,2,-1,3,-0.00109,+0.04339,+0.00130,Ccharge,,50
tookoff,She slowly took off her,jumpsuit,1,2,-1,3,-0.00126,+0.01707,+0.00051,Ccharge,,50
tookoff,She slowly took off her,brown,11,13,-2,24,-0.02326,-0.00240,-0.00058,Ccharge,,50
tookoff,She slowly took off her,dirty,8,10,-2,18,-0.02317,-0.02823,-0.00508,Ccharge,,50
tookoff,She slowly took off her,rag,1,3,-2,4,-0.00794,-0.00479,-0.00019,Ccharge,,50
tookoff,She slowly took off her,sunglasses,24,26,-2,50,-0.03758,+0.16799,+0.08400,Ccharge,-13.5,50
tookoff,She slowly took off her,j,5,7,-2,12,-0.00002,-0.00099,-0.00012,Ccharge,,50
tookoff,She slowly took off her,o,0,2,-2,2,-0.00071,-0.00071,-0.00001,Ccharge,,50
tookoff,She slowly took off her,th,3,5,-2,8,-0.00004,+0.00061,+0.00005,Ccharge,,50
tookoff,She slowly took off her,cam,0,2,-2,2,-0.00276,-0.00276,-0.00006,Ccharge,,50
tookoff,She slowly took off her,outfit,7,9,-2,16,-0.03647,-0.00009,-0.00001,Ccharge,,50
tookoff,She slowly took off her,undergarments,0,2,-2,2,-0.05790,-0.05790,-0.00116,Ccharge,,50
tookoff,She slowly took off her,a,0,2,-2,2,-0.00108,-0.00108,-0.00002,Ccharge,,50
tookoff,She slowly took off her,sweatp,1,3,-2,4,-0.00000,-0.00000,-0.00000,Ccharge,,50
tookoff,She slowly took off her,cors,2,4,-2,6,-0.00001,+0.00005,+0.00000,Ccharge,,50
tookoff,She slowly took off her,n,0,2,-2,2,-0.00010,-0.00010,-0.00000,Ccharge,,50
tookoff,She slowly took off her,she,0,2,-2,2,-0.02331,-0.02331,-0.00047,Ccharge,,50
tookoff,She slowly took off her,sungl,1,3,-2,4,-0.00019,-0.00066,-0.00003,Ccharge,,50
tookoff,She slowly took off her,tro,1,3,-2,4,-0.00001,+0.00001,+0.00000,Ccharge,,50
tookoff,She slowly took off her,parka,3,5,-2,8,-0.03674,-0.02487,-0.00199,Ccharge,,50
tookoff,She slowly took off her,sne,6,8,-2,14,-0.00000,-0.00000,-0.00000,Ccharge,,50
tookoff,She slowly took off her,spect,8,10,-2,18,-0.00000,-0.00000,-0.00000,Ccharge,,50
tookoff,She slowly took off her,eyegl,0,2,-2,2,-0.00050,-0.00050,-0.00001,Ccharge,,50
tookoff,She slowly took off her,eyes,2,4,-2,6,-0.11503,-0.07400,-0.00444,Ccharge,,50
tookoff,She slowly took off her,glov,0,2,-2,2,-0.00302,-0.00302,-0.00006,Ccharge,,50
tookoff,She slowly took off her,helm,0,2,-2,2,-0.01057,-0.01057,-0.00021,Ccharge,,50
tookoff,She slowly took off her,panti,0,2,-2,2,-0.00120,-0.00120,-0.00002,Ccharge,,50
tookoff,She slowly took off her,stilett,0,2,-2,2,-0.00006,-0.00006,-0.00000,Ccharge,,50
tookoff,She slowly took off her,v,0,2,-2,2,-0.00135,-0.00135,-0.00003,Ccharge,,50
tookoff,She slowly took off her,ball,0,2,-2,2,-0.03669,-0.03669,-0.00073,Ccharge,,50
tookoff,She slowly took off her,underp,0,2,-2,2,-0.00001,-0.00001,-0.00000,Ccharge,,50
tookoff,She slowly took off her,underpants,0,2,-2,2,-0.06662,-0.06662,-0.00133,Ccharge,,50
tookoff,She slowly took off her,eyeg,2,4,-2,6,-0.00000,-0.00001,-0.00000,Ccharge,,50
tookoff,She slowly took off her,headdress,2,4,-2,6,-0.03084,-0.01953,-0.00117,Ccharge,,50
tookoff,She slowly took off her,py,0,2,-2,2,-0.00066,-0.00066,-0.00001,Ccharge,,50
tookoff,She slowly took off her,pyj,0,2,-2,2,-0.00001,-0.00001,-0.00000,Ccharge,,50
tookoff,She slowly took off her,legs,0,2,-2,2,-0.06398,-0.06398,-0.00128,Ccharge,,50
tookoff,She slowly took off her,turt,0,2,-2,2,-0.00000,-0.00000,-0.00000,Ccharge,,50
tookoff,She slowly took off her,paja,0,2,-2,2,-0.00003,-0.00003,-0.00000,Ccharge,,50
tookoff,She slowly took off her,sneak,0,2,-2,2,-0.00013,-0.00013,-0.00000,Ccharge,,50
tookoff,She slowly took off her,spectac,0,2,-2,2,-0.00000,-0.00000,-0.00000,Ccharge,,50
tookoff,She slowly took off her,eyeglass,0,2,-2,2,-0.00084,-0.00084,-0.00002,Ccharge,,50
tookoff,She slowly took off her,sha,0,2,-2,2,-0.00006,-0.00006,-0.00000,Ccharge,,50
tookoff,She slowly took off her,skin,1,3,-2,4,-0.04221,-0.03038,-0.00122,Ccharge,,50
tookoff,She slowly took off her,gear,1,3,-2,4,-0.05159,-0.04670,-0.00187,Ccharge,,50
tookoff,She slowly took off her,footwear,0,2,-2,2,-0.10185,-0.10185,-0.00204,Ccharge,,50
tookoff,She slowly took off her,handc,0,2,-2,2,-0.00003,-0.00003,-0.00000,Ccharge,,50
tookoff,She slowly took off her,handcuffs,0,2,-2,2,-0.09061,-0.09061,-0.00181,Ccharge,,50
tookoff,She slowly took off her,overall,0,2,-2,2,-0.00274,-0.00274,-0.00005,Ccharge,,50
tookoff,She slowly took off her,skirts,0,2,-2,2,-0.13028,-0.13028,-0.00261,Ccharge,,50
tookoff,She slowly took off her,wings,0,2,-2,2,-0.08146,-0.08146,-0.00163,Ccharge,,50
tookoff,She slowly took off her,feet,0,2,-2,2,-0.08257,-0.08257,-0.00165,Ccharge,,50
tookoff,She slowly took off her,headd,0,2,-2,2,-0.00000,-0.00000,-0.00000,Ccharge,,50
tookoff,She slowly took off her,coat．,0,2,-2,2,-0.07438,-0.07438,-0.00149,Ccharge,,50
tookoff,She slowly took off her,sund,0,2,-2,2,-0.00000,-0.00000,-0.00000,Ccharge,,50
tookoff,She slowly took off her,sundress,0,2,-2,2,-0.05277,-0.05277,-0.00106,Ccharge,,50
tookoff,She slowly took off her,goggle,0,2,-2,2,-0.00135,-0.00135,-0.00003,Ccharge,,50
tookoff,She slowly took off her,jump,0,2,-2,2,-0.00469,-0.00469,-0.00009,Ccharge,,50
tookoff,She slowly took off her,_____,0,2,-2,2,-0.14122,-0.14122,-0.00282,Ccharge,,50
tookoff,She slowly took off her,_______,0,2,-2,2,-0.07252,-0.07252,-0.00145,Ccharge,,50
tookoff,She slowly took off her,________,0,2,-2,2,-0.22499,-0.22499,-0.00450,Ccharge,,50
tookoff,She slowly took off her,tur,1,3,-2,4,-0.00004,-0.00003,-0.00000,Ccharge,,50
tookoff,She slowly took off her,jumps,0,2,-2,2,-0.00002,-0.00002,-0.00000,Ccharge,,50
tookoff,She slowly took off her,pan,0,2,-2,2,-0.00040,-0.00040,-0.00001,Ccharge,,50
tookoff,She slowly took off her,blank,0,2,-2,2,-0.00032,-0.00032,-0.00001,Ccharge,,50
tookoff,She slowly took off her,sleeve,0,2,-2,2,-0.03781,-0.03781,-0.00076,Ccharge,,50
tookoff,She slowly took off her,backpack,19,22,-3,41,-0.01402,+0.05146,+0.02110,Ccharge,-2.0,50
tookoff,She slowly took off her,bracelets,0,3,-3,3,-0.04498,-0.08517,-0.00256,Ccharge,,50
tookoff,She slowly took off her,cloak,23,26,-3,49,-0.01108,+0.13760,+0.06742,Ccharge,-12.5,50
tookoff,She slowly took off her,left,15,18,-3,33,-0.02031,-0.01562,-0.00515,Ccharge,,50
tookoff,She slowly took off her,mitt,1,4,-3,5,-0.00542,-0.00949,-0.00047,Ccharge,,50
tookoff,She slowly took off her,overalls,2,5,-3,7,-0.03466,-0.04619,-0.00323,Ccharge,,50
tookoff,She slowly took off her,pantyhose,3,6,-3,9,-0.11778,-0.08336,-0.00750,Ccharge,,50
tookoff,She slowly took off her,t-shirt,5,8,-3,13,-0.09893,-0.03496,-0.00454,Ccharge,-32.5,50
tookoff,She slowly took off her,box,0,3,-3,3,-0.00842,-0.01109,-0.00033,Ccharge,,50
tookoff,She slowly took off her,ch,1,4,-3,5,-0.00013,-0.00018,-0.00001,Ccharge,,50
tookoff,She slowly took off her,cloth,5,8,-3,13,-0.04232,-0.02300,-0.00299,Ccharge,,50
tookoff,She slowly took off her,gog,0,3,-3,3,-0.00002,-0.00082,-0.00002,Ccharge,,50
tookoff,She slowly took off her,headph,0,3,-3,3,-0.00000,-0.00001,-0.00000,Ccharge,,50
tookoff,She slowly took off her,jack,1,4,-3,5,-0.00202,-0.00188,-0.00009,Ccharge,,50
tookoff,She slowly took off her,linger,1,4,-3,5,-0.00010,-0.00021,-0.00001,Ccharge,,50
tookoff,She slowly took off her,ti,0,3,-3,3,-0.00007,-0.00041,-0.00001,Ccharge,,50
tookoff,She slowly took off her,underwe,0,3,-3,3,-0.00005,-0.00007,-0.00000,Ccharge,,50
tookoff,She slowly took off her,undergar,0,3,-3,3,-0.00005,-0.00004,-0.00000,Ccharge,,50
tookoff,She slowly took off her,leg,1,4,-3,5,-0.03831,-0.02364,-0.00118,Ccharge,,50
tookoff,She slowly took off her,e,2,5,-3,7,-0.00019,-0.00037,-0.00003,Ccharge,,50
tookoff,She slowly took off her,gl,1,4,-3,5,-0.00012,-0.00383,-0.00019,Ccharge,,50
tookoff,She slowly took off her,jum,0,3,-3,3,-0.00002,-0.00002,-0.00000,Ccharge,,50
tookoff,She slowly took off her,te,1,4,-3,5,-0.00002,+0.00004,+0.00000,Ccharge,,50
tookoff,She slowly took off her,be,0,3,-3,3,-0.00017,-0.00026,-0.00001,Ccharge,,50
tookoff,She slowly took off her,slipp,0,3,-3,3,-0.00002,-0.00093,-0.00003,Ccharge,,50
tookoff,She slowly took off her,eyeglasses,2,5,-3,7,-0.02779,-0.03472,-0.00243,Ccharge,,50
tookoff,She slowly took off her,blo,0,3,-3,3,-0.00001,-0.00008,-0.00000,Ccharge,,50
tookoff,She slowly took off her,tren,0,3,-3,3,-0.00002,-0.00002,-0.00000,Ccharge,,50
tookoff,She slowly took off her,garments,3,7,-4,10,-0.06852,-0.03797,-0.00380,Ccharge,,50
tookoff,She slowly took off her,high,23,27,-4,50,-0.00781,-0.00631,-0.00316,Ccharge,,50
tookoff,She slowly took off her,hijab,9,13,-4,22,-0.02694,-0.00191,-0.00042,Ccharge,-16.5,50
tookoff,She slowly took off her,pajama,4,8,-4,12,-0.02924,-0.03036,-0.00364,Ccharge,,50
tookoff,She slowly took off her,sh,15,19,-4,34,-0.00004,-0.00343,-0.00117,Ccharge,,50
tookoff,She slowly took off her,silk,14,18,-4,32,-0.02153,-0.00180,-0.00057,Ccharge,,50
tookoff,She slowly took off her,bathro,0,4,-4,4,-0.00001,-0.00001,-0.00000,Ccharge,,50
tookoff,She slowly took off her,bo,0,4,-4,4,-0.00034,-0.00042,-0.00002,Ccharge,,50
tookoff,She slowly took off her,cloths,1,5,-4,6,-0.08927,-0.05771,-0.00346,Ccharge,,50
tookoff,She slowly took off her,co,0,4,-4,4,-0.00246,-0.00235,-0.00009,Ccharge,,50
tookoff,She slowly took off her,knick,0,4,-4,4,-0.00006,-0.00012,-0.00000,Ccharge,,50
tookoff,She slowly took off her,lingerie,2,6,-4,8,-0.12166,-0.07796,-0.00624,Ccharge,,50
tookoff,She slowly took off her,to,1,5,-4,6,-0.00165,-0.00547,-0.00033,Ccharge,,50
tookoff,She slowly took off her,wed,0,4,-4,4,-0.00013,-0.00013,-0.00001,Ccharge,,50
tookoff,She slowly took off her,cor,1,5,-4,6,-0.00003,-0.00005,-0.00000,Ccharge,,50
tookoff,She slowly took off her,corset,3,7,-4,10,-0.07827,-0.05449,-0.00545,Ccharge,,50
tookoff,She slowly took off her,legg,0,4,-4,4,-0.00001,-0.00002,-0.00000,Ccharge,,50
tookoff,She slowly took off her,hands,5,9,-4,14,-0.02884,+0.07424,+0.01039,Ccharge,,50
tookoff,She slowly took off her,jewel,0,4,-4,4,-0.00667,-0.00585,-0.00023,Ccharge,,50
tookoff,She slowly took off her,overco,2,6,-4,8,-0.00000,-0.00000,-0.00000,Ccharge,,50
tookoff,She slowly took off her,stocking,0,4,-4,4,-0.08592,-0.07878,-0.00315,Ccharge,,50
tookoff,She slowly took off her,den,0,4,-4,4,-0.00008,-0.00011,-0.00000,Ccharge,,50
tookoff,She slowly took off her,park,2,6,-4,8,-0.00010,-0.00021,-0.00002,Ccharge,,50
tookoff,She slowly took off her,tun,1,5,-4,6,-0.00001,-0.00001,-0.00000,Ccharge,,50
tookoff,She slowly took off her,lipstick,3,7,-4,10,-0.08188,-0.05478,-0.00548,Ccharge,,50
tookoff,She slowly took off her,blaz,0,4,-4,4,-0.00001,-0.00002,-0.00000,Ccharge,,50
tookoff,She slowly took off her,headgear,0,4,-4,4,-0.09791,-0.09843,-0.00394,Ccharge,,50
tookoff,She slowly took off her,lip,1,5,-4,6,-0.00295,-0.01240,-0.00074,Ccharge,,50
tookoff,She slowly took off her,rainco,1,5,-4,6,-0.00001,-0.00002,-0.00000,Ccharge,,50
tookoff,She slowly took off her,earphones,0,4,-4,4,-0.07261,-0.06552,-0.00262,Ccharge,,50
tookoff,She slowly took off her,jew,0,4,-4,4,-0.00006,-0.00009,-0.00000,Ccharge,,50
tookoff,She slowly took off her,kimon,0,4,-4,4,-0.00002,-0.00002,-0.00000,Ccharge,,50
tookoff,She slowly took off her,boot,4,9,-5,13,-0.01904,-0.01083,-0.00141,Ccharge,,50
tookoff,She slowly took off her,cardigan,13,18,-5,31,-0.01236,+0.03799,+0.01178,Ccharge,-13.5,50
tookoff,She slowly took off her,helmet,21,26,-5,47,-0.08199,+0.26984,+0.12683,Ccharge,-5.0,50
tookoff,She slowly took off her,kn,10,15,-5,25,-0.00002,+0.00068,+0.00017,Ccharge,,50
tookoff,She slowly took off her,make-up,2,7,-5,9,-0.07137,-0.04130,-0.00372,Ccharge,,50
tookoff,She slowly took off her,tie,3,8,-5,11,-0.03454,+0.00134,+0.00015,Ccharge,-30.0,50
tookoff,She slowly took off her,warm,7,12,-5,19,-0.02115,-0.02544,-0.00483,Ccharge,,50
tookoff,She slowly took off her,bel,0,5,-5,5,-0.00007,-0.00057,-0.00003,Ccharge,,50
tookoff,She slowly took off her,earr,1,6,-5,7,-0.00001,-0.00001,-0.00000,Ccharge,,50
tookoff,She slowly took off her,knickers,3,8,-5,11,-0.09868,-0.07505,-0.00826,Ccharge,,50
tookoff,She slowly took off her,sho,0,5,-5,5,-0.00023,-0.00535,-0.00027,Ccharge,,50
tookoff,She slowly took off her,sk,2,7,-5,9,-0.00018,-0.00193,-0.00017,Ccharge,,50
tookoff,She slowly took off her,r,0,5,-5,5,-0.00035,-0.00051,-0.00003,Ccharge,,50
tookoff,She slowly took off her,rainc,1,6,-5,7,-0.00000,-0.00001,-0.00000,Ccharge,,50
tookoff,She slowly took off her,tunic,5,10,-5,15,-0.03111,-0.01949,-0.00292,Ccharge,-20.0,50
tookoff,She slowly took off her,sweatsh,0,5,-5,5,-0.00000,-0.00003,-0.00000,Ccharge,,50
tookoff,She slowly took off her,brace,1,6,-5,7,-0.00542,-0.01015,-0.00071,Ccharge,,50
tookoff,She slowly took off her,overs,0,5,-5,5,-0.00004,-0.00056,-0.00003,Ccharge,,50
tookoff,She slowly took off her,rob,0,5,-5,5,-0.00028,-0.00070,-0.00004,Ccharge,,50
tookoff,She slowly took off her,T-shirt,2,8,-6,10,-0.10642,-0.07761,-0.00776,Ccharge,-32.5,50
tookoff,She slowly took off her,armor,10,16,-6,26,-0.06294,+0.30603,+0.07957,Ccharge,-10.0,50
tookoff,She slowly took off her,bracelet,4,10,-6,14,-0.03544,-0.05460,-0.00764,Ccharge,,50
tookoff,She slowly took off her,pantyh,1,7,-6,8,-0.00001,-0.00010,-0.00001,Ccharge,,50
tookoff,She slowly took off her,ski,2,8,-6,10,-0.01729,-0.02868,-0.00287,Ccharge,,50
tookoff,She slowly took off her,wedding,22,28,-6,50,-0.01854,+0.06146,+0.03073,Ccharge,,50
tookoff,She slowly took off her,glass,2,8,-6,10,-0.01776,-0.02384,-0.00238,Ccharge,,50
tookoff,She slowly took off her,pajam,1,7,-6,8,-0.00001,-0.00002,-0.00000,Ccharge,,50
tookoff,She slowly took off her,swim,1,7,-6,8,-0.01537,-0.01581,-0.00126,Ccharge,,50
tookoff,She slowly took off her,tr,0,6,-6,6,-0.00009,-0.00048,-0.00003,Ccharge,,50
tookoff,She slowly took off her,trous,0,6,-6,6,-0.00011,-0.00027,-0.00002,Ccharge,,50
tookoff,She slowly took off her,headband,5,11,-6,16,-0.07403,-0.04346,-0.00695,Ccharge,,50
tookoff,She slowly took off her,gar,2,8,-6,10,-0.00004,-0.00024,-0.00002,Ccharge,,50
tookoff,She slowly took off her,kim,3,9,-6,12,-0.00000,-0.00002,-0.00000,Ccharge,,50
tookoff,She slowly took off her,kimono,6,12,-6,18,-0.05664,-0.01576,-0.00284,Ccharge,,50
tookoff,She slowly took off her,ey,5,11,-6,16,-0.00001,-0.00019,-0.00003,Ccharge,,50
tookoff,She slowly took off her,sun,2,8,-6,10,-0.01729,-0.02228,-0.00223,Ccharge,,50
