scene,prompt,word,n_rise,n_fall,net,n_carriers,median_delta_pp,mean_delta_pp,net_mass,scale,out,n_lineages
tookoff,He slowly took off his,wet,16,31,-15,47,-0.05127,+0.01766,+0.00830,Ccharge,,50
tookoff,He slowly took off his,shorts,10,25,-15,35,-0.09328,-0.04612,-0.01614,Ccharge,-35.0,50
tookoff,He slowly took off his,box,2,17,-15,19,-0.00108,-0.00191,-0.00036,Ccharge,,50
tookoff,He slowly took off his,underwear,3,18,-15,21,-0.13140,-0.12512,-0.02628,Ccharge,-90.0,50
tookoff,He slowly took off his,sand,5,21,-16,26,-0.00104,-0.00118,-0.00031,Ccharge,,50
tookoff,He slowly took off his,wig,7,23,-16,30,-0.06281,-0.04365,-0.01309,Ccharge,-10.0,50
tookoff,He slowly took off his,g,4,21,-17,25,-0.00048,-0.00135,-0.00034,Ccharge,,50
tookoff,He slowly took off his,scar,0,17,-17,17,-0.00055,-0.00152,-0.00026,Ccharge,,50
tookoff,He slowly took off his,wool,0,17,-17,17,-0.02934,-0.03918,-0.00666,Ccharge,,50
tookoff,He slowly took off his,armor,10,28,-18,38,-0.10206,-0.09109,-0.03461,Ccharge,-10.0,50
tookoff,He slowly took off his,outer,13,31,-18,44,-0.06470,-0.04905,-0.02158,Ccharge,,50
tookoff,He slowly took off his,sung,1,19,-18,20,-0.00004,-0.00011,-0.00002,Ccharge,,50
tookoff,He slowly took off his,cape,8,27,-19,35,-0.05865,-0.02789,-0.00976,Ccharge,,50
tookoff,He slowly took off his,hood,14,33,-19,47,-0.08455,-0.09643,-0.04532,Ccharge,-8.0,50
tookoff,He slowly took off his,tux,2,21,-19,23,-0.01250,-0.01887,-0.00434,Ccharge,,50
tookoff,He slowly took off his,ey,3,23,-20,26,-0.00006,-0.00013,-0.00003,Ccharge,,50
tookoff,He slowly took off his,pants,15,35,-20,50,-0.42936,-0.62073,-0.31036,Ccharge,-45.0,50
tookoff,He slowly took off his,scarf,13,33,-20,46,-0.06168,-0.00928,-0.00427,Ccharge,-9.0,50
tookoff,He slowly took off his,t,15,35,-20,50,-0.01272,-0.01858,-0.00929,Ccharge,,50
tookoff,He slowly took off his,uniform,14,34,-20,48,-0.11047,-0.07142,-0.03428,Ccharge,-35.0,50
tookoff,He slowly took off his,work,8,28,-20,36,-0.02277,-0.03133,-0.01128,Ccharge,,50
tookoff,He slowly took off his,tunic,4,24,-20,28,-0.08059,-0.08039,-0.02251,Ccharge,-20.0,50
tookoff,He slowly took off his,green,9,30,-21,39,-0.07208,-0.04369,-0.01704,Ccharge,,50
tookoff,He slowly took off his,heavy,14,35,-21,49,-0.04867,-0.03200,-0.01568,Ccharge,,50
tookoff,He slowly took off his,band,6,27,-21,33,-0.00371,-0.00321,-0.00106,Ccharge,,50
tookoff,He slowly took off his,rain,5,27,-22,32,-0.01861,-0.01766,-0.00565,Ccharge,,50
tookoff,He slowly took off his,robe,14,36,-22,50,-0.29520,-0.21022,-0.10511,Ccharge,-57.5,50
tookoff,He slowly took off his,dark,13,36,-23,49,-0.05568,-0.02812,-0.01378,Ccharge,,50
tookoff,He slowly took off his,goggles,10,33,-23,43,-0.06706,-0.06719,-0.02889,Ccharge,-6.5,50
tookoff,He slowly took off his,T,9,33,-24,42,-0.05171,-0.07740,-0.03251,Ccharge,,50
tookoff,He slowly took off his,arm,5,29,-24,34,-0.04115,-0.05028,-0.01709,Ccharge,,50
tookoff,He slowly took off his,cap,13,37,-24,50,-0.23491,-0.22521,-0.11260,Ccharge,-5.0,50
tookoff,He slowly took off his,top,13,37,-24,50,-0.17049,-0.06806,-0.03403,Ccharge,-48.0,50
tookoff,He slowly took off his,clothing,11,36,-25,47,-0.15271,-0.13694,-0.06436,Ccharge,-60.0,50
tookoff,He slowly took off his,dress,10,35,-25,45,-0.08992,-0.07863,-0.03538,Ccharge,-57.5,50
tookoff,He slowly took off his,hand,10,35,-25,45,-0.08870,-0.01832,-0.00824,Ccharge,,50
tookoff,He slowly took off his,black,12,38,-26,50,-0.26339,-0.22559,-0.11280,Ccharge,,50
tookoff,He slowly took off his,jeans,9,35,-26,44,-0.09903,-0.07324,-0.03223,Ccharge,-37.5,50
tookoff,He slowly took off his,sweater,12,38,-26,50,-0.17826,-0.12104,-0.06052,Ccharge,-15.0,50
tookoff,He slowly took off his,robes,1,27,-26,28,-0.07911,-0.13054,-0.03655,Ccharge,,50
tookoff,He slowly took off his,ear,0,27,-27,27,-0.01872,-0.02075,-0.00560,Ccharge,,50
tookoff,He slowly took off his,belt,11,39,-28,50,-0.23273,-0.24647,-0.12324,Ccharge,-32.5,50
tookoff,He slowly took off his,overcoat,10,38,-28,48,-0.11612,-0.13045,-0.06261,Ccharge,-11.0,50
tookoff,He slowly took off his,sweat,7,35,-28,42,-0.02091,-0.02444,-0.01027,Ccharge,,50
tookoff,He slowly took off his,own,10,39,-29,49,-0.11818,-0.08239,-0.04037,Ccharge,,50
tookoff,He slowly took off his,right,6,35,-29,41,-0.07599,-0.00805,-0.00330,Ccharge,,50
tookoff,He slowly took off his,blind,7,37,-30,44,-0.00282,-0.00343,-0.00151,Ccharge,,50
tookoff,He slowly took off his,white,10,40,-30,50,-0.19649,-0.18669,-0.09334,Ccharge,,50
tookoff,He slowly took off his,trousers,8,39,-31,47,-0.17031,-0.15061,-0.07079,Ccharge,-35.0,50
tookoff,He slowly took off his,red,8,40,-32,48,-0.06212,-0.08378,-0.04022,Ccharge,,50
tookoff,He slowly took off his,long,7,41,-34,48,-0.10478,-0.10158,-0.04876,Ccharge,,50
tookoff,He slowly took off his,blue,7,42,-35,49,-0.08257,-0.08942,-0.04381,Ccharge,,50
tookoff,He slowly took off his,over,6,41,-35,47,-0.00652,-0.00702,-0.00330,Ccharge,,50
tookoff,He slowly took off his,head,7,43,-36,50,-0.06421,-0.08912,-0.04456,Ccharge,,50
