source,source_label,target,target_label,up,n,n_prompts,spec,obs_over_exp,p,grain,perm
A+,A+,Y,Y,29,48,1269,1.1256,0.6453,0.193413,letter,32
E-,E-,A,A,33,49,1621,1.1243,1.2936,0.0212941,letter,32
G-,G-,X,X,32,49,678,1.1238,1.3622,0.0443842,letter,32
M,M,O-,O-,30,48,437,1.1236,1.0156,0.111403,letter,32
A+,A+,L-,L-,28,49,553,1.1234,0.4333,0.391603,letter,32
A-,A-,G-,G-,27,49,656,1.1233,0.7589,0.568172,letter,32
L-,L-,A-,A-,37,49,633,1.1231,2.3084,0.000469757,letter,32
O,O,G+,G+,22,42,47,1.1229,1.2420,0.877614,letter,32
E-,E-,C,C,26,48,298,1.1219,1.0015,0.665466,letter,32
A+,A+,S,S,37,50,1977,1.1206,0.8120,0.000936223,letter,32
N+,N+,X+,X+,38,49,1958,1.1195,1.0952,0.000141971,letter,32
O,O,T+,T+,33,49,1518,1.1187,1.2256,0.0212941,letter,32
B,B,X+,X+,33,49,1493,1.1186,1.4197,0.0212941,letter,32
N-,N-,S,S,27,49,782,1.1186,0.8544,0.568172,letter,32
M,M,Z,Z,37,49,2275,1.1182,1.5370,0.000469757,letter,32
S+,S+,T,T,27,50,1209,1.1178,0.9242,0.671811,letter,32
P,P,A-,A-,29,49,320,1.1169,1.2030,0.25287,letter,32
L+,L+,S+,S+,25,46,150,1.1163,1.6620,0.658738,letter,32
L,L,S+,S+,29,49,320,1.1158,1.5033,0.25287,letter,32
L-,L-,M,M,30,49,756,1.1156,1.9659,0.152408,letter,32
N+,N+,G,G,28,49,757,1.1154,0.8802,0.391603,letter,32
F,F,T-,T-,26,49,364,1.1151,1.2493,0.77545,letter,32
T+,T+,A-,A-,35,49,1629,1.1150,0.6227,0.00380165,letter,32
A+,A+,Z,Z,33,50,2245,1.1147,1.0047,0.0328391,letter,32
E+,E+,O+,O+,25,49,447,1.1141,0.7910,1,letter,32
L,L,Q,Q,31,49,376,1.1123,1.4079,0.0854331,letter,32
T,T,A,A,35,50,1080,1.1113,1.1552,0.00660045,letter,32
P,P,I,I,27,49,250,1.1103,1.1040,0.568172,letter,32
B-,B-,X+,X+,29,49,442,1.1101,1.1741,0.25287,letter,32
M,M,F+,F+,18,31,42,1.1097,0.1165,0.47313,letter,32
X+,X+,G,G,27,49,767,1.1095,0.7147,0.568172,letter,32
M,M,O+,O+,32,49,1315,1.1095,1.1446,0.0443842,letter,32
N,N,L,L,25,48,330,1.1091,1.1678,0.885433,letter,32
X,X,Y,Y,25,47,984,1.1083,0.4754,0.770867,letter,32
A+,A+,Q,Q,40,50,2196,1.1082,0.9534,2.38613e-05,letter,32
