source,source_label,target,target_label,up,n,n_prompts,spec,obs_over_exp,p,grain,perm
E3-,Calm/Violent/Angry [-],A11.1+,Importance: Important [+],24,44,63,1.0397,1.4119,0.651588,fine,32
E3-,Calm/Violent/Angry [-],A2.1+,"Affect:- Modify, change [+]",27,49,439,1.0387,1.3544,0.568172,fine,32
L1-,Life and living things [-],N5,Quantities,27,48,262,1.0381,1.5794,0.470879,fine,32
E3-,Calm/Violent/Angry [-],A5.2-,Evaluation:- True/false [-],24,46,92,1.0368,0.9848,0.882996,fine,32
L1-,Life and living things [-],O4.5,Texture,27,49,189,1.0321,1.8601,0.568172,fine,32
L1-,Life and living things [-],S1.1.2+,Reciprocity [+],25,48,136,1.0318,2.7459,0.885433,fine,32
E3-,Calm/Violent/Angry [-],O4.6+,Temperature      [+],25,49,213,1.0314,0.7914,1,fine,32
E3-,Calm/Violent/Angry [-],S7.1+,"Power, organizing [+]",26,49,557,1.0312,1.1080,0.77545,fine,32
E3-,Calm/Violent/Angry [-],I1.2,Money: Debts,24,47,167,1.0306,1.0426,1,fine,32
L1-,Life and living things [-],M6,Location and direction,25,49,539,1.0296,1.7018,1,fine,32
L1-,Life and living things [-],T1,Time,27,47,142,1.0286,1.5966,0.381693,fine,32
L1-,Life and living things [-],B5,Clothes and personal belongings,24,47,149,1.0275,2.1668,1,fine,32
E3-,Calm/Violent/Angry [-],X3.4,Sensory:- Sight,26,49,672,1.0254,1.5547,0.77545,fine,32
L1-,Life and living things [-],H1,Architecture and kinds of houses and buildings,26,49,393,1.0246,1.6955,0.77545,fine,32
L1-,Life and living things [-],N5+,Quantities [+],25,49,199,1.0243,1.4524,1,fine,32
L1-,Life and living things [-],X5.1+,Attention [+],19,35,42,1.0220,2.6728,0.735879,fine,32
E3-,Calm/Violent/Angry [-],A5.3,Evaluation:- Accuracy,24,47,109,1.0186,1.5318,1,fine,32
L1-,Life and living things [-],A1.7-,Constraint [-],25,48,183,1.0179,2.1157,0.885433,fine,32
E3-,Calm/Violent/Angry [-],L3,Plants,23,46,123,1.0172,1.4361,1,fine,32
E3-,Calm/Violent/Angry [-],S7.2-,Respect [-],19,37,37,1.0085,0.8907,1,fine,32
E3-,Calm/Violent/Angry [-],X2.6+,Expect [+],19,38,25,1.0054,0.5534,1,fine,32
E3-,Calm/Violent/Angry [-],Z1f,Personal names [f],24,47,91,1.0018,0.8416,1,fine,32
E3-,Calm/Violent/Angry [-],X3.2++,Sensory:- Sound [++],25,49,375,1.0001,1.3576,1,fine,32
L1-,Life and living things [-],C1,Arts and crafts,24,48,135,0.9990,1.8599,1,fine,32
L1-,Life and living things [-],X2.2+,Knowledge [+],24,49,201,0.9936,1.7641,1,fine,32
L1-,Life and living things [-],Q2.1,Speech etc:- Communicative,24,49,556,0.9933,1.7811,1,fine,32
L1-,Life and living things [-],X6+,Deciding [+],24,48,239,0.9927,1.9886,1,fine,32
L1-,Life and living things [-],B3,medicines and medical treatment,21,42,40,0.9912,1.8518,1,fine,32
E3-,Calm/Violent/Angry [-],Q1.2,Paper documents and writing,24,49,523,0.9911,1.1209,1,fine,32
E3-,Calm/Violent/Angry [-],T1.1.1,Time: General: Past,22,49,546,0.9908,0.8172,0.568172,fine,32
L1-,Life and living things [-],A1.5.1,Using,23,47,268,0.9901,1.8183,1,fine,32
L1-,Life and living things [-],Z6,Negative,24,49,184,0.9879,2.0770,1,fine,32
E3-,Calm/Violent/Angry [-],O4.1,General appearance and physical properties,24,48,532,0.9871,0.8775,1,fine,32
L1-,Life and living things [-],T2-,Time: Beginning and ending [-],23,49,273,0.9857,1.6822,0.77545,fine,32
E3-,Calm/Violent/Angry [-],T1.3,Time: Period,24,49,487,0.9850,1.2268,1,fine,32
E3-,Calm/Violent/Angry [-],A9+,Getting and giving; possession [+],24,49,1010,0.9815,0.9593,1,fine,32
L1-,Life and living things [-],A5.4+,Evaluation:- Authenticity [+],22,44,24,0.9814,1.9543,1,fine,32
E3-,Calm/Violent/Angry [-],A1.7-,Constraint [-],24,49,257,0.9789,1.0449,1,fine,32
L1-,Life and living things [-],F4,Farming & Horticulture,22,44,61,0.9777,1.2976,1,fine,32
E3-,Calm/Violent/Angry [-],A11.1-,Importance: Important [-],21,43,77,0.9775,0.9718,1,fine,32
E3-,Calm/Violent/Angry [-],O1.2,Substances and materials generally: Liquid,23,47,168,0.9765,0.6504,1,fine,32
L1-,Life and living things [-],I3.1-,Work and employment: Generally [-],20,48,142,0.9747,1.5707,0.312327,fine,32
L1-,Life and living things [-],X3.1,Sensory:- Taste,18,38,23,0.9722,2.0058,0.871415,fine,32
L1-,Life and living things [-],S3.1,Relationship: General,22,46,95,0.9700,2.1530,0.882996,fine,32
E3-,Calm/Violent/Angry [-],A5.4+,Evaluation:- Authenticity [+],21,43,42,0.9698,1.4207,1,fine,32
L1-,Life and living things [-],X3.2+++,Sensory:- Sound [+++],21,42,46,0.9698,0.8920,1,fine,32
L1-,Life and living things [-],A2.1,"Affect:- Modify, change",22,49,235,0.9671,1.6231,0.568172,fine,32
L1-,Life and living things [-],M2,"Putting, taking, pulling, pushing, transporting &c.",23,49,656,0.9665,1.5213,0.77545,fine,32
E3-,Calm/Violent/Angry [-],X2.4,"Investigate, examine, test, search",24,49,599,0.9632,1.2540,1,fine,32
E3-,Calm/Violent/Angry [-],S7.4+,Permission [+],21,48,549,0.9568,1.2514,0.470879,fine,32
E3-,Calm/Violent/Angry [-],X2.1,"Thought, belief",24,49,554,0.9538,1.3570,1,fine,32
L1-,Life and living things [-],N3.8+,Measurement: Speed [+],19,49,410,0.9517,1.5885,0.152408,fine,32
L1-,Life and living things [-],A1.7+,Constraint [+],22,48,195,0.9492,1.8146,0.665466,fine,32
E3-,Calm/Violent/Angry [-],X3,Sensory,17,35,10,0.9470,0.4483,1,fine,32
E3-,Calm/Violent/Angry [-],A1.9,Avoiding,20,46,70,0.9467,1.3552,0.461391,fine,32
E3-,Calm/Violent/Angry [-],Z8m,Pronouns etc. [m],21,49,587,0.9398,0.8233,0.391603,fine,32
L1-,Life and living things [-],A6.1+,Comparing:- Similar/different [+],23,48,136,0.9397,1.3973,0.885433,fine,32
E3-,Calm/Violent/Angry [-],Z8,Pronouns etc.,21,49,677,0.9383,1.0206,0.391603,fine,32
E3-,Calm/Violent/Angry [-],Q1.3,Telecommunications,20,46,58,0.9377,1.3160,0.461391,fine,32
E3-,Calm/Violent/Angry [-],B5-,Clothes and personal belongings [-],22,47,68,0.9374,0.9583,0.770867,fine,32
L1-,Life and living things [-],Q1.1,"LINGUISTIC ACTIONS, STATES AND PROCESSES; COMMUNICATION",24,49,383,0.9345,1.5879,1,fine,32
E3-,Calm/Violent/Angry [-],S1.1.1,"SOCIAL ACTIONS, STATES AND PROCESSES",22,48,152,0.9342,1.7631,0.665466,fine,32
L1-,Life and living things [-],X5.2+,Interest/boredom/excited/energetic [+],19,39,51,0.9329,1.8883,1,fine,32
E3-,Calm/Violent/Angry [-],A7+,Definite (+ modals) [+],23,49,385,0.9302,1.0855,0.77545,fine,32
L1-,Life and living things [-],A13.3,Degree: Boosters,20,45,210,0.9301,1.2369,0.551484,fine,32
L1-,Life and living things [-],S5+c,Groups and affiliation [+c],20,44,70,0.9289,1.7087,0.651588,fine,32
E3-,Calm/Violent/Angry [-],X4.2,"Mental object:- Means, method",17,41,58,0.9246,1.0407,0.348889,fine,32
L1-,Life and living things [-],M4,"Shipping, swimming etc.",22,47,114,0.9233,1.9245,0.770867,fine,32
E3-,Calm/Violent/Angry [-],X3.2+++,Sensory:- Sound [+++],17,43,63,0.9230,0.6907,0.222053,fine,32
E3-,Calm/Violent/Angry [-],Y2,Information technology and computing,20,49,560,0.9226,1.0842,0.25287,fine,32
L1-,Life and living things [-],T1.2,Time: Momentary,19,39,27,0.9223,2.5878,1,fine,32
E3-,Calm/Violent/Angry [-],A12-,Easy/difficult [-],21,47,84,0.9208,1.0176,0.560065,fine,32
E3-,Calm/Violent/Angry [-],A2.2,Affect:- Cause/Connected,23,49,448,0.9184,0.8830,0.77545,fine,32
L1-,Life and living things [-],A10+,Open/closed; Hiding/Hidden; Finding; Showing [+],18,49,416,0.9151,1.8081,0.0854331,fine,32
L1-,Life and living things [-],S7.4-,Permission [-],13,31,11,0.9148,0.8631,0.47313,fine,32
E3-,Calm/Violent/Angry [-],B1,Anatomy and physiology,21,49,783,0.9140,1.1162,0.391603,fine,32
L1-,Life and living things [-],Q4.3,"The Media:- TV, Radio and Cinema",17,49,240,0.9115,2.1876,0.0443842,fine,32
L1-,Life and living things [-],M7,Places,19,49,213,0.9113,1.7311,0.152408,fine,32
L1-,Life and living things [-],X3.4,Sensory:- Sight,19,49,422,0.9109,1.9099,0.152408,fine,32
L1-,Life and living things [-],A10-,Open/closed; Hiding/Hidden; Finding; Showing [-],22,49,314,0.9083,1.6912,0.568172,fine,32
E3-,Calm/Violent/Angry [-],S7.2+,Respect [+],20,42,69,0.9065,1.2249,0.877614,fine,32
