source,source_label,target,target_label,up,n,n_prompts,spec,obs_over_exp,p,grain,perm
E3-,Calm/Violent/Angry [-],T2-,Time: Beginning and ending [-],37,49,325,1.2199,1.5202,0.000469757,fine,32
E3-,Calm/Violent/Angry [-],S4,Kin,25,45,62,1.2162,0.5004,0.551484,fine,32
E3-,Calm/Violent/Angry [-],T2+,Time: Beginning and ending [+],29,49,603,1.2071,1.3092,0.25287,fine,32
L1-,Life and living things [-],M5,Aircraft and flying,23,43,63,1.1963,1.2783,0.760792,fine,32
L1-,Life and living things [-],Q1.2,Paper documents and writing,29,49,298,1.1961,1.9906,0.25287,fine,32
E3-,Calm/Violent/Angry [-],M2,"Putting, taking, pulling, pushing, transporting &c.",36,49,915,1.1956,1.1839,0.00140269,fine,32
E3-,Calm/Violent/Angry [-],E1,"EMOTIONAL ACTIONS, STATES AND PROCESSES General",30,48,117,1.1937,1.9299,0.111403,fine,32
L1-,Life and living things [-],A4.2+,Particular/general; detail [+],19,31,104,1.1846,2.5477,0.281042,fine,32
E3-,Calm/Violent/Angry [-],N3.8-,Measurement: Speed [-],25,44,169,1.1836,1.3076,0.451381,fine,32
L1-,Life and living things [-],I2.2,Business: Selling,25,48,168,1.1741,1.5094,0.885433,fine,32
E3-,Calm/Violent/Angry [-],Z1mf,Personal names [mf],26,46,124,1.1724,1.0204,0.461391,fine,32
E3-,Calm/Violent/Angry [-],A5.4-,Evaluation:- Authenticity [-],23,44,108,1.1717,0.9892,0.880396,fine,32
E3-,Calm/Violent/Angry [-],X7+,Wanting; planning; choosing [+],29,49,403,1.1633,1.2842,0.25287,fine,32
E3-,Calm/Violent/Angry [-],X3.4,Sensory:- Sight,32,48,589,1.1601,1.6983,0.0293049,fine,32
L1-,Life and living things [-],X5.1-,Attention [-],26,44,72,1.1574,3.0345,0.291215,fine,32
E3-,Calm/Violent/Angry [-],B5-,Clothes and personal belongings [-],26,47,58,1.1552,1.1481,0.560065,fine,32
L1-,Life and living things [-],S7.4-,Permission [-],15,27,10,1.1531,1.4226,0.701108,fine,32
E3-,Calm/Violent/Angry [-],A10-,Open/closed; Hiding/Hidden; Finding; Showing [-],28,48,412,1.1495,1.1362,0.312327,fine,32
L1-,Life and living things [-],G2.2-,General ethics [-],30,47,113,1.1459,1.9565,0.0789407,fine,32
L1-,Life and living things [-],Q2.2,Speech acts,35,49,593,1.1448,2.5485,0.00380165,fine,32
L1-,Life and living things [-],A7-,Definite (+ modals) [-],15,29,22,1.1388,2.8502,1,fine,32
L1-,Life and living things [-],A3+,Being [+],31,49,436,1.1367,2.0396,0.0854331,fine,32
E3-,Calm/Violent/Angry [-],S3.2,Relationship: Intimate/sexual,29,49,273,1.1362,1.0151,0.25287,fine,32
E3-,Calm/Violent/Angry [-],A8,Seem,30,49,408,1.1362,1.2185,0.152408,fine,32
L1-,Life and living things [-],I1.3,Money: Price,25,46,45,1.1360,2.2435,0.658738,fine,32
L1-,Life and living things [-],O4.4,Shape,27,46,196,1.1355,1.9245,0.301996,fine,32
L1-,Life and living things [-],X3.4+,Sensory:- Sight [+],19,35,44,1.1277,2.8367,0.735879,fine,32
L1-,Life and living things [-],I1.2,Money: Debts,31,49,157,1.1257,1.7887,0.0854331,fine,32
E3-,Calm/Violent/Angry [-],A4.1,"Generally kinds, groups, examples",25,45,68,1.1212,1.8732,0.551484,fine,32
L1-,Life and living things [-],S8+,Helping/hindering [+],33,49,265,1.1206,2.2523,0.0212941,fine,32
E3-,Calm/Violent/Angry [-],E4.2+,Happy/sad: Contentment [+],23,41,30,1.1188,1.3962,0.532709,fine,32
E3-,Calm/Violent/Angry [-],A2.1+,"Affect:- Modify, change [+]",25,49,368,1.1153,1.3409,1,fine,32
L1-,Life and living things [-],A1.1.2,Damaging and destroying,28,49,358,1.1145,1.9395,0.391603,fine,32
L1-,Life and living things [-],A1.3+,Caution [+],21,37,58,1.1128,2.7308,0.511376,fine,32
E3-,Calm/Violent/Angry [-],X4.2,"Mental object:- Means, method",17,34,36,1.1126,0.9761,1,fine,32
E3-,Calm/Violent/Angry [-],Q1.1,"LINGUISTIC ACTIONS, STATES AND PROCESSES; COMMUNICATION",29,48,281,1.1112,1.2570,0.193413,fine,32
L1-,Life and living things [-],S5+,Groups and affiliation [+],23,44,61,1.1083,2.6251,0.880396,fine,32
L1-,Life and living things [-],M1,"Moving, coming and going",28,49,634,1.1070,1.9434,0.391603,fine,32
L1-,Life and living things [-],A2.1+,"Affect:- Modify, change [+]",29,49,290,1.1069,2.1044,0.25287,fine,32
E3-,Calm/Violent/Angry [-],N4,Linear order,29,49,580,1.1062,0.9549,0.25287,fine,32
E3-,Calm/Violent/Angry [-],A1.5.2+,Usefulness [+],26,42,38,1.0991,2.1767,0.164149,fine,32
E3-,Calm/Violent/Angry [-],E4.1+,Happy/sad: Happy [+],30,49,371,1.0953,1.1269,0.152408,fine,32
E3-,Calm/Violent/Angry [-],Q1.2,Paper documents and writing,31,49,439,1.0949,1.2539,0.0854331,fine,32
E3-,Calm/Violent/Angry [-],A5.1+,Evaluation:- Good/bad [+],25,45,252,1.0918,0.7303,0.551484,fine,32
E3-,Calm/Violent/Angry [-],A3+,Being [+],28,49,584,1.0867,1.3209,0.391603,fine,32
E3-,Calm/Violent/Angry [-],A9-,Getting and giving; possession [-],28,48,626,1.0840,1.2814,0.312327,fine,32
E3-,Calm/Violent/Angry [-],N5-,Quantities [-],26,47,56,1.0836,1.2628,0.560065,fine,32
E3-,Calm/Violent/Angry [-],X5.1+,Attention [+],19,36,47,1.0740,2.1802,0.867939,fine,32
E3-,Calm/Violent/Angry [-],B3,medicines and medical treatment,27,48,50,1.0738,1.4206,0.470879,fine,32
L1-,Life and living things [-],A12-,Easy/difficult [-],19,33,35,1.0728,1.3887,0.48685,fine,32
E3-,Calm/Violent/Angry [-],A1.1.1,"General actions, making etc.",28,49,925,1.0648,1.2024,0.391603,fine,32
E3-,Calm/Violent/Angry [-],X6+,Deciding [+],24,46,151,1.0615,1.2478,0.882996,fine,32
L1-,Life and living things [-],A1.9,Avoiding,26,46,69,1.0585,2.8356,0.461391,fine,32
E3-,Calm/Violent/Angry [-],X3.1,Sensory:- Taste,19,37,16,1.0570,0.9668,1,fine,32
E3-,Calm/Violent/Angry [-],A5.4+,Evaluation:- Authenticity [+],22,43,37,1.0549,1.2771,1,fine,32
L1-,Life and living things [-],E1,"EMOTIONAL ACTIONS, STATES AND PROCESSES General",27,48,101,1.0547,2.5533,0.470879,fine,32
E3-,Calm/Violent/Angry [-],A10+,Open/closed; Hiding/Hidden; Finding; Showing [+],27,49,555,1.0526,1.4870,0.568172,fine,32
L1-,Life and living things [-],T2++,Time: Beginning and ending [++],27,48,190,1.0526,2.0715,0.470879,fine,32
L1-,Life and living things [-],B3,medicines and medical treatment,24,41,37,1.0509,2.0019,0.348889,fine,32
L1-,Life and living things [-],C1,Arts and crafts,25,48,123,1.0497,1.7449,0.885433,fine,32
L1-,Life and living things [-],Z6,Negative,26,49,170,1.0481,2.2919,0.77545,fine,32
L1-,Life and living things [-],A1.7-,Constraint [-],25,48,179,1.0466,2.3339,0.885433,fine,32
L1-,Life and living things [-],E4.1+,Happy/sad: Happy [+],25,46,165,1.0459,2.0496,0.658738,fine,32
E3-,Calm/Violent/Angry [-],X3.2++,Sensory:- Sound [++],31,49,256,1.0440,1.4382,0.0854331,fine,32
L1-,Life and living things [-],T2-,Time: Beginning and ending [-],27,49,264,1.0413,1.7985,0.568172,fine,32
E3-,Calm/Violent/Angry [-],X3.2-,Sensory:- Sound [-],28,47,363,1.0412,1.8347,0.24296,fine,32
E3-,Calm/Violent/Angry [-],A14,Exclusivizers/particularizers,26,47,124,1.0402,1.1888,0.560065,fine,32
