base,aligned,arm,j_risers,j_candidates,residual,j_null,vs_null,n_pairs
RWKV/rwkv-4-7b-pile,RWKV/rwkv-raven-7b,"same scene, vary group (room)",0.3333,0.6177,-0.2812,0.0000,0.3333,276
RWKV/rwkv-4-7b-pile,RWKV/rwkv-raven-7b,"same scene, vary group (next door)",0.4286,0.7126,-0.2782,0.0000,0.4167,276
RWKV/rwkv-4-7b-pile,RWKV/rwkv-raven-7b,"same group, vary scene",0.0000,0.0154,-0.0154,0.0000,0.0000,24
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,TinyLlama/TinyLlama-1.1B-Chat-v1.0,"same scene, vary group (room)",0.2632,0.6371,-0.3733,0.0000,0.2632,276
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,TinyLlama/TinyLlama-1.1B-Chat-v1.0,"same scene, vary group (next door)",0.5000,0.7019,-0.2069,0.0286,0.4655,276
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,TinyLlama/TinyLlama-1.1B-Chat-v1.0,"same group, vary scene",0.0000,0.0913,-0.0913,0.0000,0.0000,24
Zyphra/Zamba2-7B,Zyphra/Zamba2-7B-Instruct,"same scene, vary group (next door)",0.3636,0.6474,-0.3010,0.0000,0.3636,231
Zyphra/Zamba2-7B,Zyphra/Zamba2-7B-Instruct,"same scene, vary group (room)",0.2222,0.5388,-0.2875,0.0000,0.2222,171
Zyphra/Zamba2-7B,Zyphra/Zamba2-7B-Instruct,"same group, vary scene",0.0000,0.0266,-0.0266,0.0000,0.0000,17
allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-Instruct,"same scene, vary group (room)",0.3333,0.5868,-0.2468,0.0312,0.3029,276
allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-Instruct,"same scene, vary group (next door)",0.4286,0.6512,-0.2180,0.0444,0.3850,276
allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-Instruct,"same group, vary scene",0.0000,0.0133,-0.0133,0.0000,0.0000,24
allenai/OLMoE-1B-7B-0125,allenai/OLMoE-1B-7B-0125-Instruct,"same scene, vary group (room)",0.2308,0.5815,-0.3194,0.0000,0.2222,276
allenai/OLMoE-1B-7B-0125,allenai/OLMoE-1B-7B-0125-Instruct,"same scene, vary group (next door)",0.2727,0.6086,-0.3324,0.0323,0.2473,276
allenai/OLMoE-1B-7B-0125,allenai/OLMoE-1B-7B-0125-Instruct,"same group, vary scene",0.0000,0.0091,-0.0091,0.0000,0.0000,24
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct,"same scene, vary group (room)",0.2273,0.5463,-0.3083,0.0303,0.2033,276
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct,"same scene, vary group (next door)",0.2353,0.5779,-0.3441,0.0000,0.2308,276
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct,"same group, vary scene",0.0000,0.0063,-0.0063,0.0000,0.0000,24
allenai/Olmo-3-1125-32B,allenai/Olmo-3.1-32B-Instruct,"same scene, vary group (room)",0.1319,0.5089,-0.3728,0.0294,0.0996,276
allenai/Olmo-3-1125-32B,allenai/Olmo-3.1-32B-Instruct,"same scene, vary group (next door)",0.3694,0.6338,-0.2604,0.0500,0.3159,276
allenai/Olmo-3-1125-32B,allenai/Olmo-3.1-32B-Instruct,"same group, vary scene",0.0000,0.0112,-0.0112,0.0000,0.0000,24
allenai/Olmo-Hybrid-7B,allenai/Olmo-Hybrid-Instruct-DPO-7B,"same scene, vary group (room)",0.2857,0.5362,-0.2433,0.0312,0.2632,253
allenai/Olmo-Hybrid-7B,allenai/Olmo-Hybrid-Instruct-DPO-7B,"same scene, vary group (next door)",0.5000,0.6483,-0.1555,0.0345,0.4688,276
allenai/Olmo-Hybrid-7B,allenai/Olmo-Hybrid-Instruct-DPO-7B,"same group, vary scene",0.0000,0.0090,-0.0090,0.0000,0.0000,23
baichuan-inc/Baichuan2-7B-Base,baichuan-inc/Baichuan2-7B-Chat,"same scene, vary group (room)",0.3015,0.5922,-0.2768,0.0294,0.2776,276
baichuan-inc/Baichuan2-7B-Base,baichuan-inc/Baichuan2-7B-Chat,"same scene, vary group (next door)",0.3913,0.6353,-0.2337,0.0323,0.3590,276
baichuan-inc/Baichuan2-7B-Base,baichuan-inc/Baichuan2-7B-Chat,"same group, vary scene",0.0000,0.0255,-0.0255,0.0000,0.0000,24
bigscience/bloom-7b1,bigscience/bloomz-7b1,"same scene, vary group (room)",0.5000,0.6460,-0.1585,0.0303,0.4655,276
bigscience/bloom-7b1,bigscience/bloomz-7b1,"same scene, vary group (next door)",0.5714,0.6820,-0.1116,0.0312,0.5445,276
bigscience/bloom-7b1,bigscience/bloomz-7b1,"same group, vary scene",0.0000,0.0646,-0.0646,0.0000,0.0000,24
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,"same scene, vary group (room)",0.3333,0.6632,-0.3226,0.0000,0.3333,276
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,"same scene, vary group (next door)",0.5600,0.6957,-0.1412,0.0286,0.5352,276
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,"same group, vary scene",0.0000,0.0753,-0.0753,0.0000,0.0000,24
deepseek-ai/deepseek-llm-7b-base,deepseek-ai/deepseek-llm-7b-chat,"same scene, vary group (room)",0.3529,0.5827,-0.2359,0.0000,0.3403,276
deepseek-ai/deepseek-llm-7b-base,deepseek-ai/deepseek-llm-7b-chat,"same scene, vary group (next door)",0.3529,0.6455,-0.2858,0.0000,0.3318,276
deepseek-ai/deepseek-llm-7b-base,deepseek-ai/deepseek-llm-7b-chat,"same group, vary scene",0.0000,0.0059,-0.0059,0.0000,0.0000,24
gl198976/mpt-7b,gl198976/mpt-7b-instruct,"same scene, vary group (room)",0.2667,0.5797,-0.3007,0.0000,0.2667,276
gl198976/mpt-7b,gl198976/mpt-7b-instruct,"same scene, vary group (next door)",0.4286,0.6931,-0.2578,0.0345,0.3941,276
gl198976/mpt-7b,gl198976/mpt-7b-instruct,"same group, vary scene",0.0000,0.0170,-0.0170,0.0000,0.0000,24
google/gemma-2-9b,google/gemma-2-9b-it,"same scene, vary group (room)",0.2273,0.5843,-0.3306,0.0000,0.2143,253
google/gemma-2-9b,google/gemma-2-9b-it,"same scene, vary group (next door)",0.2500,0.6291,-0.3742,0.0385,0.2158,276
google/gemma-2-9b,google/gemma-2-9b-it,"same group, vary scene",0.0000,0.0036,-0.0036,0.0000,0.0000,23
google/recurrentgemma-9b,google/recurrentgemma-9b-it,"same scene, vary group (room)",0.3772,0.5841,-0.2272,0.0385,0.3379,276
google/recurrentgemma-9b,google/recurrentgemma-9b-it,"same scene, vary group (next door)",0.3284,0.6504,-0.3275,0.0455,0.2798,276
google/recurrentgemma-9b,google/recurrentgemma-9b-it,"same group, vary scene",0.0000,0.0030,-0.0030,0.0000,0.0000,24
huggyllama/llama-7b,PKU-Alignment/beaver-7b-v1.0,"same scene, vary group (room)",0.2727,0.5738,-0.3179,0.0000,0.2518,276
huggyllama/llama-7b,PKU-Alignment/beaver-7b-v1.0,"same scene, vary group (next door)",0.2554,0.6327,-0.3767,0.0000,0.2380,276
huggyllama/llama-7b,PKU-Alignment/beaver-7b-v1.0,"same group, vary scene",0.0000,0.0618,-0.0618,0.0000,0.0000,24
ibm-granite/granite-3.0-8b-base,ibm-granite/granite-3.0-8b-instruct,"same scene, vary group (room)",0.4706,0.6013,-0.1293,0.0200,0.4462,276
ibm-granite/granite-3.0-8b-base,ibm-granite/granite-3.0-8b-instruct,"same scene, vary group (next door)",0.5000,0.6529,-0.1553,0.0000,0.5000,276
ibm-granite/granite-3.0-8b-base,ibm-granite/granite-3.0-8b-instruct,"same group, vary scene",0.0000,0.1012,-0.1012,0.0000,0.0000,24
inceptionai/jais-family-6p7b,inceptionai/jais-family-6p7b-chat,"same scene, vary group (room)",0.2571,0.5797,-0.3170,0.0274,0.2235,276
inceptionai/jais-family-6p7b,inceptionai/jais-family-6p7b-chat,"same scene, vary group (next door)",0.3727,0.6070,-0.2311,0.0440,0.3341,276
inceptionai/jais-family-6p7b,inceptionai/jais-family-6p7b-chat,"same group, vary scene",0.0000,0.0298,-0.0298,0.0000,0.0000,24
internlm/internlm2-base-7b,internlm/internlm2-chat-7b,"same scene, vary group (room)",0.4615,0.6443,-0.1601,0.0000,0.4615,276
internlm/internlm2-base-7b,internlm/internlm2-chat-7b,"same scene, vary group (next door)",0.5000,0.6372,-0.1462,0.0333,0.4615,276
internlm/internlm2-base-7b,internlm/internlm2-chat-7b,"same group, vary scene",0.0000,0.0164,-0.0164,0.0000,0.0000,24
kakaocorp/kanana-1.5-8b-base,kakaocorp/kanana-1.5-8b-instruct-2505,"same scene, vary group (room)",0.4348,0.6691,-0.2081,0.0323,0.4035,276
kakaocorp/kanana-1.5-8b-base,kakaocorp/kanana-1.5-8b-instruct-2505,"same scene, vary group (next door)",0.5000,0.6991,-0.1940,0.0370,0.4613,276
kakaocorp/kanana-1.5-8b-base,kakaocorp/kanana-1.5-8b-instruct-2505,"same group, vary scene",0.0000,0.0086,-0.0086,0.0000,0.0000,24
kakaocorp/kanana-2-3b-base,kakaocorp/kanana-2-3b-instruct,"same scene, vary group (room)",0.3333,0.6952,-0.3579,0.0385,0.3120,276
kakaocorp/kanana-2-3b-base,kakaocorp/kanana-2-3b-instruct,"same scene, vary group (next door)",0.5263,0.7234,-0.1826,0.0357,0.4916,276
kakaocorp/kanana-2-3b-base,kakaocorp/kanana-2-3b-instruct,"same group, vary scene",0.0000,0.0180,-0.0180,0.0000,0.0000,24
llm-jp/llm-jp-3-7.2b,llm-jp/llm-jp-3-7.2b-instruct3,"same scene, vary group (room)",0.2727,0.5746,-0.2902,0.0286,0.2492,276
llm-jp/llm-jp-3-7.2b,llm-jp/llm-jp-3-7.2b-instruct3,"same scene, vary group (next door)",0.3548,0.6858,-0.3092,0.0431,0.3122,276
llm-jp/llm-jp-3-7.2b,llm-jp/llm-jp-3-7.2b-instruct3,"same group, vary scene",0.0000,0.0271,-0.0271,0.0000,0.0000,24
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,"same scene, vary group (room)",0.3333,0.6133,-0.2751,0.0308,0.3063,276
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,"same scene, vary group (next door)",0.4500,0.6816,-0.1979,0.0323,0.4223,276
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,"same group, vary scene",0.0000,0.0201,-0.0201,0.0000,0.0000,24
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,"same scene, vary group (room)",0.3500,0.5789,-0.2401,0.0000,0.3333,276
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,"same scene, vary group (next door)",0.2952,0.6453,-0.3409,0.0363,0.2601,276
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,"same group, vary scene",0.0000,0.0492,-0.0492,0.0000,0.0000,24
meta-llama/Llama-3.1-70B,meta-llama/Llama-3.1-70B-Instruct,"same scene, vary group (room)",0.4045,0.5656,-0.1577,0.0185,0.3876,276
meta-llama/Llama-3.1-70B,meta-llama/Llama-3.1-70B-Instruct,"same scene, vary group (next door)",0.5217,0.6293,-0.1089,0.0333,0.4688,276
meta-llama/Llama-3.1-70B,meta-llama/Llama-3.1-70B-Instruct,"same group, vary scene",0.0000,0.0069,-0.0069,0.0000,0.0000,24
meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,"same scene, vary group (room)",0.5263,0.5960,-0.0763,0.0312,0.5000,276
meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,"same scene, vary group (next door)",0.4545,0.6621,-0.2044,0.0385,0.4289,276
meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,"same group, vary scene",0.0000,0.0156,-0.0156,0.0000,0.0000,24
mistralai/Mistral-7B-v0.1,mistralai/Mistral-7B-Instruct-v0.1,"same scene, vary group (room)",0.3280,0.5513,-0.2286,0.0294,0.2963,276
mistralai/Mistral-7B-v0.1,mistralai/Mistral-7B-Instruct-v0.1,"same scene, vary group (next door)",0.4629,0.6091,-0.1440,0.0435,0.4196,276
mistralai/Mistral-7B-v0.1,mistralai/Mistral-7B-Instruct-v0.1,"same group, vary scene",0.0000,0.0258,-0.0258,0.0000,0.0000,24
openGPT-X/Teuken-7B-base-v0.6,openGPT-X/Teuken-7B-instruct-v0.6,"same scene, vary group (room)",0.4341,0.6086,-0.1727,0.0312,0.3947,276
openGPT-X/Teuken-7B-base-v0.6,openGPT-X/Teuken-7B-instruct-v0.6,"same scene, vary group (next door)",0.4772,0.6907,-0.2191,0.0323,0.4317,276
openGPT-X/Teuken-7B-base-v0.6,openGPT-X/Teuken-7B-instruct-v0.6,"same group, vary scene",0.0000,0.0325,-0.0325,0.0000,0.0000,24
openbmb/MiniCPM5-1B-Base,openbmb/MiniCPM5-1B,"same scene, vary group (room)",0.3333,0.6363,-0.3007,0.0323,0.3075,276
openbmb/MiniCPM5-1B-Base,openbmb/MiniCPM5-1B,"same scene, vary group (next door)",0.4074,0.6542,-0.2333,0.0294,0.3782,276
openbmb/MiniCPM5-1B-Base,openbmb/MiniCPM5-1B,"same group, vary scene",0.0000,0.0085,-0.0082,0.0000,0.0000,24
stabilityai/stablelm-2-1_6b,stabilityai/stablelm-2-1_6b-chat,"same scene, vary group (room)",0.3489,0.6021,-0.2533,0.0303,0.3163,276
stabilityai/stablelm-2-1_6b,stabilityai/stablelm-2-1_6b-chat,"same scene, vary group (next door)",0.3889,0.6569,-0.2675,0.0303,0.3683,276
stabilityai/stablelm-2-1_6b,stabilityai/stablelm-2-1_6b-chat,"same group, vary scene",0.0000,0.0197,-0.0197,0.0000,0.0000,24
team-hatakeyama-phase2/Tanuki-8B-base-v1.0,weblab-GENIAC/Tanuki-8B-dpo-v1.0,"same scene, vary group (room)",0.3333,0.6395,-0.3033,0.0000,0.3333,276
team-hatakeyama-phase2/Tanuki-8B-base-v1.0,weblab-GENIAC/Tanuki-8B-dpo-v1.0,"same scene, vary group (next door)",0.5714,0.6737,-0.0987,0.0000,0.5714,276
team-hatakeyama-phase2/Tanuki-8B-base-v1.0,weblab-GENIAC/Tanuki-8B-dpo-v1.0,"same group, vary scene",0.0000,0.0479,-0.0479,0.0000,0.0000,24
