source,source_label,target,target_label,up,n,n_prompts,spec,obs_over_exp,p,grain,perm
C,C,S-,S-,11,45,204,0.3421,0.2755,0.000824082,letter,32
S-,S-,I-,I-,11,48,134,0.3413,0.2936,0.000222245,letter,32
Y,Y,L,L,12,48,217,0.3407,0.3187,0.00071727,letter,32
G+,G+,Z,Z,13,40,29,0.3398,0.0259,0.0384773,letter,32
O+,O+,F-,F-,12,29,12,0.3392,0.0000,0.458258,letter,32
F,F,F+,F+,8,28,19,0.3369,0.0000,0.0356981,letter,32
I-,I-,H,H,12,47,120,0.3347,0.4607,0.00108854,letter,32
I,I,B+,B+,13,38,26,0.3313,0.0613,0.0729514,letter,32
L+,L+,N+,N+,11,46,76,0.3309,0.3910,0.000535585,letter,32
X-,X-,I-,I-,13,49,105,0.3275,0.1443,0.00140269,letter,32
I-,I-,L,L,14,43,50,0.3250,0.6468,0.0315395,letter,32
E-,E-,O-,O-,8,48,173,0.3211,0.2786,3.30527e-06,letter,32
T-,T-,L+,L+,11,48,62,0.3207,0.1426,0.000222245,letter,32
I-,I-,C,C,12,47,80,0.3206,0.3417,0.00108854,letter,32
L+,L+,N,N,15,42,56,0.3179,0.2640,0.0884295,letter,32
F+,F+,T,T,11,33,25,0.3157,0.1747,0.0801433,letter,32
L+,L+,P,P,13,41,49,0.3137,0.2070,0.0275332,letter,32
I,I,L+,L+,14,49,78,0.3129,0.2301,0.00380165,letter,32
S,S,F-,F-,12,30,20,0.3111,0.0300,0.361595,letter,32
O,O,W-,W-,8,45,28,0.3110,0.2596,1.53741e-05,letter,32
G-,G-,H,H,11,47,117,0.3066,0.2550,0.000346001,letter,32
F-,F-,B,B,11,34,18,0.3041,0.0834,0.0576127,letter,32
K,K,C,C,13,47,167,0.3014,0.1913,0.00308768,letter,32
I-,I-,E-,E-,5,48,287,0.2992,0.3375,1.36805e-08,letter,32
B+,B+,K,K,15,36,29,0.2975,0.5345,0.405032,letter,32
X-,X-,O+,O+,13,49,286,0.2974,0.1393,0.00140269,letter,32
I+,I+,M,M,10,37,38,0.2974,0.0471,0.00763208,letter,32
X-,X-,C,C,13,48,136,0.2969,0.1295,0.00208811,letter,32
G-,G-,L,L,12,46,56,0.2924,0.3730,0.00164149,letter,32
F-,F-,T,T,12,30,19,0.2910,0.0677,0.361595,letter,32
B-,B-,W,W,10,42,52,0.2909,0.3844,0.000940674,letter,32
I+,I+,A-,A-,12,38,23,0.2906,0.1356,0.0335524,letter,32
I-,I-,L-,L-,12,49,122,0.2865,0.1889,0.000469757,letter,32
O+,O+,I+,I+,8,27,22,0.2855,0.2431,0.052239,letter,32
I-,I-,G,G,5,49,198,0.2849,0.2976,7.59716e-09,letter,32
X+,X+,F+,F+,10,26,21,0.2779,0.0000,0.32694,letter,32
C,C,P,P,14,45,63,0.2746,0.1819,0.0160944,letter,32
L+,L+,C,C,13,35,22,0.2622,0.2086,0.175465,letter,32
O-,O-,E-,E-,12,48,131,0.2615,0.1769,0.00071727,letter,32
