source,source_label,target,target_label,up,n,n_prompts,spec,obs_over_exp,p,grain,perm
G-,G-,E-,E-,30,49,329,1.2914,1.2628,0.152408,letter,32
O,O,I+,I+,25,39,42,1.2889,0.9008,0.108129,letter,32
G-,G-,Y,Y,28,48,272,1.2889,0.9734,0.312327,letter,32
B,B,X+,X+,36,49,1401,1.2847,1.4187,0.00140269,letter,32
N+,N+,S,S,37,50,1598,1.2845,1.0011,0.000936223,letter,32
O,O,F,F,32,49,745,1.2804,0.9483,0.0443842,letter,32
E-,E-,K,K,35,49,575,1.2794,1.4654,0.00380165,letter,32
Z,Z,L-,L-,34,49,551,1.2792,0.6581,0.00939924,letter,32
B-,B-,Q,Q,36,49,402,1.2792,1.3716,0.00140269,letter,32
A+,A+,S,S,43,50,2140,1.2789,1.2528,2.09868e-07,letter,32
L,L,H,H,27,48,90,1.2789,1.3163,0.470879,letter,32
L+,L+,A-,A-,29,47,128,1.2769,1.7517,0.143865,letter,32
X+,X+,B-,B-,27,49,389,1.2768,0.9576,0.568172,letter,32
K,K,G-,G-,27,49,219,1.2680,0.6890,0.568172,letter,32
K,K,N-,N-,27,48,239,1.2659,0.8091,0.470879,letter,32
C,C,E,E,27,47,146,1.2654,1.3081,0.381693,letter,32
O+,O+,L-,L-,26,47,204,1.2648,0.5708,0.560065,letter,32
H,H,E,E,27,46,112,1.2630,1.5466,0.301996,letter,32
H,H,M,M,37,50,888,1.2598,1.1792,0.000936223,letter,32
T,T,N,N,35,49,1632,1.2583,1.0189,0.00380165,letter,32
N-,N-,L,L,29,47,94,1.2559,1.2887,0.143865,letter,32
E-,E-,M,M,41,49,1478,1.2554,1.1222,1.96465e-06,letter,32
G,G,F,F,30,49,261,1.2536,1.5268,0.152408,letter,32
E+,E+,O-,O-,28,48,145,1.2532,1.1087,0.312327,letter,32
M,M,P,P,39,49,523,1.2508,1.1433,3.84591e-05,letter,32
T-,T-,X,X,35,49,1100,1.2495,1.3114,0.00380165,letter,32
M,M,F-,F-,18,34,42,1.2493,0.3685,0.864166,letter,32
T+,T+,W-,W-,14,28,13,1.2466,0.8355,1,letter,32
X+,X+,F,F,30,49,899,1.2458,0.8287,0.152408,letter,32
X,X,S+,S+,38,50,1807,1.2438,0.8702,0.000305864,letter,32
T+,T+,E+,E+,26,49,1017,1.2430,0.4966,0.77545,letter,32
T-,T-,Q,Q,43,49,1276,1.2425,1.2357,5.72777e-08,letter,32
I,I,X,X,36,49,1238,1.2376,1.4793,0.00140269,letter,32
F-,F-,Q,Q,19,32,35,1.2358,1.5160,0.377086,letter,32
N,N,O+,O+,32,49,1093,1.2357,1.0550,0.0443842,letter,32
K,K,A-,A-,33,49,886,1.2351,0.8655,0.0212941,letter,32
A-,A-,G-,G-,34,49,573,1.2335,0.6771,0.00939924,letter,32
O-,O-,G,G,26,46,44,1.2327,0.7708,0.461391,letter,32
O-,O-,N+,N+,28,47,181,1.2322,0.9350,0.24296,letter,32
A-,A-,F-,F-,16,31,29,1.2319,0.0000,1,letter,32
S-,S-,E-,E-,33,49,543,1.2318,1.0165,0.0212941,letter,32
X-,X-,T,T,31,48,699,1.2312,0.5310,0.0594634,letter,32
K,K,O-,O-,28,47,92,1.2302,0.8404,0.24296,letter,32
E-,E-,T+,T+,33,49,970,1.2297,1.4552,0.0212941,letter,32
O+,O+,A+,A+,35,49,1471,1.2273,1.3337,0.00380165,letter,32
Q,Q,I+,I+,25,42,81,1.2237,1.0340,0.279956,letter,32
F,F,X,X,39,49,878,1.2235,1.5817,3.84591e-05,letter,32
E-,E-,O+,O+,28,49,554,1.2224,1.1624,0.391603,letter,32
N+,N+,Y,Y,36,49,1319,1.2199,0.9192,0.00140269,letter,32
E-,E-,G,G,29,49,465,1.2197,1.0348,0.25287,letter,32
G,G,E,E,27,47,111,1.2196,1.7707,0.381693,letter,32
X,X,S-,S-,34,49,892,1.2195,0.8896,0.00939924,letter,32
L+,L+,Q,Q,28,47,158,1.2193,1.5405,0.24296,letter,32
E-,E-,T-,T-,34,49,542,1.2187,1.2073,0.00939924,letter,32
S,S,C,C,28,48,417,1.2185,1.3665,0.312327,letter,32
Z,Z,E+,E+,41,49,1660,1.2180,1.2990,1.96465e-06,letter,32
E-,E-,Q,Q,38,49,1355,1.2178,1.2421,0.000141971,letter,32
O,O,L,L,32,49,311,1.2167,1.2375,0.0443842,letter,32
O+,O+,G-,G-,30,47,299,1.2164,0.9205,0.0789407,letter,32
X,X,W,W,27,47,234,1.2161,0.7366,0.381693,letter,32
Q,Q,Y,Y,33,49,1475,1.2145,0.9731,0.0212941,letter,32
E,E,A-,A-,29,48,418,1.2144,0.6915,0.193413,letter,32
E+,E+,E-,E-,32,49,710,1.2133,1.0258,0.0443842,letter,32
E-,E-,N+,N+,36,49,1063,1.2115,1.2081,0.00140269,letter,32
G,G,N-,N-,29,47,202,1.2081,1.4745,0.143865,letter,32
G,G,O,O,31,49,558,1.2071,1.9094,0.0854331,letter,32
E,E,Z,Z,30,48,474,1.2067,0.6782,0.111403,letter,32
H,H,X+,X+,29,49,682,1.2050,1.5288,0.25287,letter,32
T,T,I-,I-,25,48,264,1.2030,0.9192,0.885433,letter,32
B,B,L-,L-,28,49,348,1.2027,0.6120,0.391603,letter,32
A+,A+,Q,Q,46,50,2270,1.2027,1.3334,4.46178e-10,letter,32
S,S,L-,L-,29,49,360,1.2025,0.6570,0.25287,letter,32
X,X,H,H,34,49,643,1.1980,0.7565,0.00939924,letter,32
P,P,Q,Q,32,49,334,1.1978,1.1567,0.0443842,letter,32
W,W,Q,Q,26,49,250,1.1974,1.0837,0.77545,letter,32
K,K,I,I,27,48,468,1.1960,0.8308,0.470879,letter,32
T+,T+,Z,Z,36,49,1887,1.1957,0.6832,0.00140269,letter,32
S,S,P,P,31,49,291,1.1949,1.2826,0.0854331,letter,32
T+,T+,B,B,30,49,1188,1.1947,0.7820,0.152408,letter,32
E,E,O-,O-,21,41,47,1.1945,0.7791,1,letter,32
S,S,X-,X-,34,50,933,1.1928,2.0579,0.0153467,letter,32
N,N,W-,W-,25,43,18,1.1920,1.5436,0.360378,letter,32
O+,O+,Y,Y,30,49,867,1.1913,1.1524,0.152408,letter,32
B,B,B-,B-,30,49,314,1.1907,1.0800,0.152408,letter,32
P,P,I,I,28,49,146,1.1905,0.8335,0.391603,letter,32
A-,A-,T+,T+,35,49,1689,1.1895,0.9913,0.00380165,letter,32
S+,S+,K,K,30,49,826,1.1884,1.0374,0.152408,letter,32
G,G,A,A,36,49,962,1.1880,1.8083,0.00140269,letter,32
Y,Y,I,I,28,48,560,1.1871,0.9833,0.312327,letter,32
S+,S+,Z,Z,35,49,2145,1.1866,0.7768,0.00380165,letter,32
A,A,Y,Y,38,49,1684,1.1855,0.9053,0.000141971,letter,32
O,O,Y,Y,34,49,1032,1.1792,1.0755,0.00939924,letter,32
C,C,Q,Q,35,49,824,1.1792,1.2520,0.00380165,letter,32
Y,Y,T+,T+,28,48,1020,1.1776,1.3661,0.312327,letter,32
X+,X+,S,S,35,50,1730,1.1770,0.8760,0.00660045,letter,32
G,G,X+,X+,36,49,764,1.1764,1.6829,0.00140269,letter,32
X,X,F-,F-,15,28,22,1.1740,0.2509,0.850554,letter,32
B,B,H,H,32,49,445,1.1716,1.2540,0.0443842,letter,32
T-,T-,E+,E+,28,49,539,1.1715,1.2008,0.391603,letter,32
E+,E+,A+,A+,35,50,1474,1.1710,1.1349,0.00660045,letter,32
L+,L+,G-,G-,23,44,44,1.1700,1.3670,0.880396,letter,32
L-,L-,I,I,32,49,355,1.1672,1.5532,0.0443842,letter,32
F,F,T,T,32,49,729,1.1664,1.3076,0.0443842,letter,32
K,K,A+,A+,32,49,1105,1.1655,0.8013,0.0443842,letter,32
L-,L-,Q,Q,36,49,684,1.1653,2.4153,0.00140269,letter,32
O-,O-,K,K,26,47,98,1.1634,1.1999,0.560065,letter,32
A+,A+,E-,E-,34,49,1673,1.1631,1.0971,0.00939924,letter,32
Z,Z,T+,T+,35,49,1943,1.1629,1.3074,0.00380165,letter,32
Y,Y,B,B,30,48,867,1.1628,1.2047,0.111403,letter,32
W,W,F,F,25,49,103,1.1626,0.7912,1,letter,32
T,T,S-,S-,30,49,842,1.1620,1.0176,0.152408,letter,32
Z,Z,G-,G-,29,49,693,1.1611,0.9302,0.25287,letter,32
H,H,Q,Q,31,49,809,1.1599,1.2029,0.0854331,letter,32
A-,A-,K,K,30,49,991,1.1595,0.9536,0.152408,letter,32
I-,I-,A-,A-,31,49,497,1.1593,1.9408,0.0854331,letter,32
Q,Q,G-,G-,31,49,680,1.1591,0.8728,0.0854331,letter,32
X-,X-,I,I,29,48,418,1.1577,0.5158,0.193413,letter,32
A,A,Z,Z,43,50,2487,1.1576,1.0544,2.09868e-07,letter,32
S-,S-,Z,Z,33,49,1182,1.1561,1.1657,0.0212941,letter,32
T-,T-,N+,N+,34,49,1020,1.1560,1.0146,0.00939924,letter,32
E-,E-,X+,X+,34,49,1169,1.1558,1.3108,0.00939924,letter,32
N-,N-,Y,Y,26,48,351,1.1542,0.9103,0.665466,letter,32
N+,N+,E-,E-,33,49,1124,1.1527,0.8750,0.0212941,letter,32
A-,A-,W,W,27,47,257,1.1526,0.9570,0.381693,letter,32
N,N,G,G,25,49,461,1.1526,0.9010,1,letter,32
L+,L+,E-,E-,26,47,97,1.1522,1.1840,0.560065,letter,32
Q,Q,T,T,41,49,1927,1.1517,1.0367,1.96465e-06,letter,32
A,A,O-,O-,32,48,420,1.1514,0.7962,0.0293049,letter,32
E-,E-,I,I,28,49,607,1.1512,0.9587,0.391603,letter,32
X,X,B-,B-,28,49,343,1.1511,0.7648,0.391603,letter,32
T+,T+,S+,S+,34,49,1700,1.1510,0.7313,0.00939924,letter,32
M,M,O-,O-,32,48,468,1.1509,1.1769,0.0293049,letter,32
T,T,E+,E+,31,49,1173,1.1509,1.1820,0.0854331,letter,32
E,E,M,M,33,48,538,1.1508,0.6286,0.0132833,letter,32
F,F,W-,W-,21,38,17,1.1480,0.9293,0.627103,letter,32
O-,O-,Q,Q,25,48,224,1.1479,0.8531,0.885433,letter,32
G-,G-,X,X,28,49,536,1.1477,1.2471,0.391603,letter,32
Z,Z,E-,E-,32,50,1628,1.1476,1.1279,0.0649086,letter,32
K,K,T+,T+,36,49,663,1.1470,0.8327,0.00140269,letter,32
X,X,I-,I-,27,49,414,1.1430,0.4725,0.568172,letter,32
M,M,X,X,44,49,2181,1.1428,1.4241,7.59716e-09,letter,32
O,O,S-,S-,28,49,704,1.1423,0.8644,0.391603,letter,32
F+,F+,Q,Q,23,42,49,1.1418,2.0558,0.643969,letter,32
F,F,E,E,27,47,133,1.1415,1.4339,0.381693,letter,32
N,N,H,H,27,49,512,1.1397,1.0110,0.568172,letter,32
F,F,Q,Q,32,49,1009,1.1393,1.3051,0.0443842,letter,32
K,K,E,E,29,48,161,1.1390,0.8657,0.193413,letter,32
X-,X-,H,H,27,48,205,1.1388,0.5469,0.470879,letter,32
G+,G+,A,A,23,42,39,1.1384,0.2600,0.643969,letter,32
O+,O+,X,X,29,49,1095,1.1378,1.5132,0.25287,letter,32
N+,N+,G,G,27,49,550,1.1372,0.7560,0.568172,letter,32
T-,T-,T+,T+,27,49,882,1.1367,1.1810,0.568172,letter,32
Y,Y,X+,X+,31,48,1136,1.1367,1.2019,0.0594634,letter,32
N+,N+,B,B,34,49,1281,1.1351,1.0473,0.00939924,letter,32
S,S,T,T,32,49,1472,1.1349,1.3510,0.0443842,letter,32
C,C,A+,A+,29,49,909,1.1344,1.0351,0.25287,letter,32
Y,Y,A-,A-,30,48,1268,1.1343,1.2586,0.111403,letter,32
N-,N-,C,C,26,47,129,1.1342,0.8887,0.560065,letter,32
O+,O+,T,T,32,49,1002,1.1335,1.2499,0.0443842,letter,32
L+,L+,S-,S-,26,47,65,1.1330,1.0327,0.560065,letter,32
N+,N+,K,K,30,49,818,1.1318,1.1815,0.152408,letter,32
T,T,X,X,35,50,1746,1.1313,1.2524,0.00660045,letter,32
G-,G-,Z,Z,27,49,649,1.1286,1.1401,0.568172,letter,32
A-,A-,O,O,31,49,1712,1.1281,0.8382,0.0854331,letter,32
I,I,O,O,27,48,961,1.1262,1.0486,0.470879,letter,32
B,B,Y,Y,26,48,939,1.1260,1.1162,0.665466,letter,32
O+,O+,P,P,25,48,132,1.1258,1.3363,0.885433,letter,32
T-,T-,S+,S+,29,49,1111,1.1258,1.1373,0.25287,letter,32
Z,Z,M,M,38,50,2499,1.1258,1.1030,0.000305864,letter,32
B,B,S,S,28,49,1172,1.1258,1.1470,0.391603,letter,32
B-,B-,B-,B-,30,49,155,1.1254,1.1217,0.152408,letter,32
Q,Q,X+,X+,37,50,2041,1.1231,1.0191,0.000936223,letter,32
K,K,O+,O+,27,49,380,1.1224,0.5829,0.568172,letter,32
S,S,B-,B-,30,49,301,1.1220,1.4299,0.152408,letter,32
G-,G-,N,N,26,48,446,1.1219,0.7325,0.665466,letter,32
I-,I-,Q,Q,31,49,609,1.1206,1.7339,0.0854331,letter,32
N+,N+,S-,S-,27,49,842,1.1199,0.7556,0.568172,letter,32
Z,Z,C,C,30,49,754,1.1198,1.0381,0.152408,letter,32
L-,L-,S-,S-,27,49,312,1.1195,1.6916,0.568172,letter,32
X,X,T,T,30,50,1627,1.1192,0.7056,0.202639,letter,32
O-,O-,O,O,26,47,165,1.1188,1.1360,0.560065,letter,32
S+,S+,W,W,24,47,201,1.1188,0.5732,1,letter,32
M,M,K,K,31,49,1366,1.1186,1.2109,0.0854331,letter,32
X-,X-,X+,X+,32,49,818,1.1186,0.5660,0.0443842,letter,32
T,T,N+,N+,34,50,1682,1.1183,1.0575,0.0153467,letter,32
X+,X+,O-,O-,29,48,295,1.1163,0.8396,0.193413,letter,32
G,G,Q,Q,35,49,858,1.1159,1.7891,0.00380165,letter,32
A-,A-,S-,S-,27,49,1064,1.1153,0.6807,0.568172,letter,32
Y,Y,A+,A+,31,48,1404,1.1143,1.0541,0.0594634,letter,32
N,N,W,W,27,48,188,1.1141,1.1510,0.470879,letter,32
N+,N+,W,W,29,48,227,1.1124,0.8504,0.193413,letter,32
P,P,C,C,23,45,43,1.1120,0.9926,1,letter,32
S,S,Y,Y,33,49,1009,1.1117,1.2101,0.0212941,letter,32
H,H,O,O,29,49,425,1.1107,1.2007,0.25287,letter,32
H,H,A+,A+,34,49,925,1.1095,1.3380,0.00939924,letter,32
A,A,E,E,34,49,519,1.1086,1.1687,0.00939924,letter,32
O-,O-,N-,N-,26,47,73,1.1077,0.9022,0.560065,letter,32
I,I,X+,X+,31,49,1238,1.1075,1.2937,0.0854331,letter,32
A-,A-,X+,X+,32,49,1989,1.1070,0.8076,0.0443842,letter,32
I,I,Q,Q,29,49,1389,1.1048,1.2243,0.25287,letter,32
Z,Z,B,B,32,49,1761,1.1037,1.3780,0.0443842,letter,32
P,P,N+,N+,27,48,179,1.1034,0.9306,0.470879,letter,32
X+,X+,A-,A-,33,49,2011,1.1032,0.9409,0.0212941,letter,32
Q,Q,A+,A+,34,50,2225,1.1024,0.9761,0.0153467,letter,32
L-,L-,X+,X+,28,49,564,1.1018,1.9181,0.391603,letter,32
X+,X+,O+,O+,28,49,1088,1.1010,0.7861,0.391603,letter,32
S-,S-,Y,Y,25,48,524,1.1008,0.8783,0.885433,letter,32
L-,L-,A+,A+,29,49,710,1.1006,1.8852,0.25287,letter,32
O,O,L-,L-,27,49,333,1.1001,0.3588,0.568172,letter,32
O,O,N,N,28,49,1407,1.0993,0.8856,0.391603,letter,32
C,C,M,M,31,49,924,1.0991,0.9735,0.0854331,letter,32
Z,Z,X+,X+,35,50,2229,1.0986,1.2126,0.00660045,letter,32
E,E,N-,N-,23,45,105,1.0985,0.5750,1,letter,32
B-,B-,K,K,30,49,182,1.0984,1.4127,0.152408,letter,32
L+,L+,T-,T-,26,47,87,1.0983,1.2177,0.560065,letter,32
L+,L+,X+,X+,27,46,140,1.0981,1.4592,0.301996,letter,32
M,M,G-,G-,35,49,774,1.0976,1.0561,0.00380165,letter,32
H,H,N,N,27,49,469,1.0968,1.2276,0.568172,letter,32
Z,Z,A-,A-,35,49,2306,1.0957,1.2441,0.00380165,letter,32
M,M,X+,X+,39,49,2274,1.0956,1.2193,3.84591e-05,letter,32
S,S,Z,Z,36,50,2042,1.0947,1.4195,0.00260217,letter,32
L-,L-,A,A,33,49,709,1.0947,2.3577,0.0212941,letter,32
N,N,X,X,33,49,1726,1.0941,1.4365,0.0212941,letter,32
M,M,X-,X-,34,49,1627,1.0929,1.5422,0.00939924,letter,32
Q,Q,Z,Z,33,50,2253,1.0925,0.9992,0.0328391,letter,32
F,F,T-,T-,26,49,374,1.0920,0.9466,0.77545,letter,32
Y,Y,E-,E-,25,48,706,1.0918,1.0625,0.885433,letter,32
S+,S+,G,G,27,49,615,1.0915,0.6011,0.568172,letter,32
X-,X-,G,G,26,49,178,1.0913,0.3376,0.77545,letter,32
I,I,N+,N+,29,49,1097,1.0912,1.1644,0.25287,letter,32
O+,O+,Q,Q,29,49,1294,1.0908,1.2406,0.25287,letter,32
T-,T-,O,O,27,49,834,1.0907,1.0351,0.568172,letter,32
E-,E-,O,O,27,49,1011,1.0900,1.0385,0.568172,letter,32
F,F,N+,N+,28,49,747,1.0891,1.1796,0.391603,letter,32
S,S,N,N,28,49,1459,1.0879,1.0372,0.391603,letter,32
I,I,T,T,30,49,1037,1.0859,1.1112,0.152408,letter,32
Z,Z,X,X,32,50,2163,1.0852,1.2933,0.0649086,letter,32
N+,N+,S+,S+,30,50,1894,1.0843,1.0867,0.202639,letter,32
E+,E+,X-,X-,31,50,634,1.0829,1.1865,0.11892,letter,32
X,X,O-,O-,25,47,238,1.0827,0.5386,0.770867,letter,32
Y,Y,O,O,31,48,1005,1.0826,1.0512,0.0594634,letter,32
S,S,A,A,35,50,2056,1.0825,1.2972,0.00660045,letter,32
L-,L-,M,M,30,49,739,1.0823,1.8456,0.152408,letter,32
S-,S-,E,E,25,48,134,1.0819,1.1189,0.885433,letter,32
N-,N-,Z,Z,30,49,842,1.0818,0.9449,0.152408,letter,32
I,I,G+,G+,22,43,53,1.0815,1.4136,1,letter,32
S+,S+,P,P,25,49,269,1.0815,0.6046,1,letter,32
C,C,T,T,28,48,548,1.0807,1.0705,0.312327,letter,32
A-,A-,H,H,27,49,689,1.0801,0.7036,0.568172,letter,32
C,C,X+,X+,28,49,679,1.0792,0.9869,0.391603,letter,32
T-,T-,S-,S-,29,49,431,1.0783,0.8697,0.25287,letter,32
T-,T-,G-,G-,29,49,252,1.0781,0.8083,0.25287,letter,32
M,M,N+,N+,32,50,2287,1.0780,1.0738,0.0649086,letter,32
O+,O+,X-,X-,26,49,645,1.0778,1.7159,0.77545,letter,32
F+,F+,S+,S+,21,40,40,1.0776,1.9623,0.874629,letter,32
I-,I-,A+,A+,28,49,684,1.0776,1.5822,0.391603,letter,32
E,E,X-,X-,25,48,221,1.0770,0.7339,0.885433,letter,32
O,O,S+,S+,29,49,1616,1.0767,1.0840,0.25287,letter,32
A,A,N-,N-,32,49,1052,1.0758,0.8908,0.0443842,letter,32
E,E,S+,S+,28,48,417,1.0749,0.6992,0.312327,letter,32
L-,L-,A-,A-,29,49,603,1.0749,2.0741,0.25287,letter,32
I-,I-,X+,X+,27,49,485,1.0747,1.5031,0.568172,letter,32
I,I,E-,E-,28,49,690,1.0743,1.0232,0.391603,letter,32
C,C,X,X,27,48,741,1.0738,1.2597,0.470879,letter,32
O,O,E+,E+,31,48,1000,1.0734,0.9716,0.0594634,letter,32
G,G,E+,E+,25,49,376,1.0728,1.6029,1,letter,32
N,N,O,O,28,49,1476,1.0727,1.0904,0.391603,letter,32
F,F,A+,A+,33,49,1079,1.0726,1.3048,0.0212941,letter,32
H,H,E-,E-,27,48,348,1.0724,0.9720,0.470879,letter,32
Q,Q,A,A,39,50,2261,1.0718,0.9428,9.02149e-05,letter,32
X,X,Q,Q,35,50,1927,1.0712,0.7343,0.00660045,letter,32
B,B,E+,E+,26,49,893,1.0709,0.9887,0.77545,letter,32
N+,N+,Z,Z,36,50,2158,1.0708,1.0013,0.00260217,letter,32
H,H,S+,S+,31,49,622,1.0705,1.3435,0.0854331,letter,32
A,A,T+,T+,36,49,1961,1.0704,1.0160,0.00140269,letter,32
C,C,N,N,28,49,538,1.0704,0.8927,0.391603,letter,32
X+,X+,S-,S-,28,49,1013,1.0703,0.6481,0.391603,letter,32
A-,A-,Z,Z,27,49,2247,1.0702,0.7416,0.568172,letter,32
M,M,L-,L-,29,49,651,1.0700,0.4444,0.25287,letter,32
O,O,T+,T+,27,49,1312,1.0697,1.0274,0.568172,letter,32
G-,G-,E+,E+,28,49,311,1.0697,1.0018,0.391603,letter,32
E+,E+,N+,N+,29,50,1028,1.0695,0.9332,0.322236,letter,32
T+,T+,S,S,26,49,1474,1.0695,0.4935,0.77545,letter,32
N,N,A+,A+,30,49,2115,1.0692,1.1125,0.152408,letter,32
X,X,E-,E-,26,49,1202,1.0690,0.6075,0.77545,letter,32
P,P,A-,A-,25,49,258,1.0682,1.0027,1,letter,32
Z,Z,F,F,29,49,1129,1.0682,0.8986,0.25287,letter,32
I,I,S,S,26,49,1005,1.0675,1.0101,0.77545,letter,32
N,N,X-,X-,28,48,1063,1.0675,1.5699,0.312327,letter,32
M,M,O+,O+,31,49,1507,1.0650,1.0066,0.0854331,letter,32
X+,X+,K,K,26,49,996,1.0649,0.9237,0.77545,letter,32
A-,A-,M,M,27,49,2255,1.0638,0.7295,0.568172,letter,32
F,F,T+,T+,27,49,714,1.0634,1.3763,0.568172,letter,32
S-,S-,M,M,27,49,1274,1.0627,0.8340,0.568172,letter,32
I-,I-,E+,E+,25,48,213,1.0625,1.3388,0.885433,letter,32
G,G,M,M,32,49,963,1.0625,1.4620,0.0443842,letter,32
T+,T+,A-,A-,32,49,1706,1.0624,0.5853,0.0443842,letter,32
Z,Z,T-,T-,28,49,1387,1.0614,1.0628,0.391603,letter,32
O,O,Q,Q,27,49,1793,1.0613,0.9498,0.568172,letter,32
E,E,N,N,26,48,284,1.0612,0.5841,0.665466,letter,32
Q,Q,X,X,37,50,2023,1.0607,1.1164,0.000936223,letter,32
X+,X+,T,T,27,50,1783,1.0607,0.8708,0.671811,letter,32
L-,L-,T+,T+,27,49,460,1.0607,2.1540,0.568172,letter,32
Z,Z,N-,N-,28,49,1066,1.0605,1.0278,0.391603,letter,32
K,K,T,T,27,50,665,1.0595,0.6627,0.671811,letter,32
M,M,A+,A+,40,49,2449,1.0595,1.1806,9.26355e-06,letter,32
N,N,Y,Y,30,49,1447,1.0594,0.8867,0.152408,letter,32
A+,A+,S+,S+,31,50,2271,1.0594,1.2617,0.11892,letter,32
Z,Z,O,O,32,49,2025,1.0591,1.1209,0.0443842,letter,32
X+,X+,M,M,32,49,2204,1.0588,0.8259,0.0443842,letter,32
C,C,X-,X-,24,48,327,1.0585,1.3633,1,letter,32
O+,O+,X+,X+,26,49,1123,1.0576,1.1542,0.77545,letter,32
S,S,E+,E+,25,49,991,1.0576,1.2009,1,letter,32
I,I,T-,T-,26,49,656,1.0573,0.9441,0.77545,letter,32
Z,Z,H,H,28,49,965,1.0569,1.1196,0.391603,letter,32
X+,X+,A+,A+,35,50,2182,1.0559,0.8887,0.00660045,letter,32
S,S,S-,S-,26,49,782,1.0556,1.0853,0.77545,letter,32
I,I,O-,O-,22,44,85,1.0552,1.0131,1,letter,32
L-,L-,E,E,27,48,101,1.0546,2.5530,0.470879,letter,32
I,I,N,N,27,49,1055,1.0540,1.0386,0.568172,letter,32
T-,T-,A,A,32,49,1413,1.0540,1.1201,0.0443842,letter,32
Z,Z,Q,Q,26,50,2294,1.0537,1.0671,0.887725,letter,32
A+,A+,A,A,40,50,2434,1.0535,1.1299,2.38613e-05,letter,32
A-,A-,E+,E+,27,49,1338,1.0532,0.6983,0.568172,letter,32
C,C,T+,T+,29,48,531,1.0525,1.0878,0.193413,letter,32
A+,A+,A-,A-,36,50,2283,1.0518,1.1655,0.00260217,letter,32
L-,L-,C,C,25,48,123,1.0518,1.7449,0.885433,letter,32
Z,Z,W,W,26,49,363,1.0517,1.0438,0.77545,letter,32
E+,E+,H,H,27,48,309,1.0514,0.9857,0.470879,letter,32
Q,Q,S+,S+,33,50,2094,1.0513,0.9558,0.0328391,letter,32
N,N,E+,E+,27,49,1128,1.0512,1.0435,0.568172,letter,32
B-,B-,M,M,26,49,498,1.0508,0.8955,0.77545,letter,32
Y,Y,I-,I-,24,47,157,1.0503,1.0881,1,letter,32
G-,G-,T,T,25,48,454,1.0500,0.9111,0.885433,letter,32
E+,E+,Q,Q,33,50,1303,1.0500,0.9190,0.0328391,letter,32
B-,B-,Z,Z,26,49,444,1.0497,1.1993,0.77545,letter,32
F,F,M,M,32,49,1137,1.0493,1.0514,0.0443842,letter,32
N+,N+,H,H,27,49,614,1.0491,0.7837,0.568172,letter,32
F,F,E+,E+,26,49,554,1.0490,1.0812,0.77545,letter,32
N,N,O-,O-,25,47,259,1.0486,1.0646,0.770867,letter,32
Z,Z,A+,A+,29,50,2441,1.0479,1.0930,0.322236,letter,32
O,O,A+,A+,27,49,1945,1.0477,1.0522,0.568172,letter,32
F-,F-,Z,Z,20,36,42,1.0475,1.4229,0.617719,letter,32
Z,Z,O+,O+,29,49,1499,1.0470,0.9906,0.25287,letter,32
M,M,Q,Q,35,49,2313,1.0470,1.1800,0.00380165,letter,32
A+,A+,T+,T+,31,49,1988,1.0461,1.1842,0.0854331,letter,32
I-,I-,N+,N+,25,47,362,1.0453,1.5472,0.770867,letter,32
Q,Q,X-,X-,28,50,1489,1.0453,1.2099,0.479888,letter,32
Y,Y,Q,Q,27,48,1277,1.0450,1.1246,0.470879,letter,32
L,L,B,B,25,48,189,1.0446,1.3901,0.885433,letter,32
X+,X+,C,C,26,49,596,1.0443,0.7679,0.77545,letter,32
L,L,F,F,25,48,119,1.0428,1.0611,0.885433,letter,32
L-,L-,T-,T-,26,49,317,1.0427,1.7425,0.77545,letter,32
F,F,S+,S+,28,49,882,1.0424,1.4493,0.391603,letter,32
O,O,K,K,26,48,728,1.0419,1.0540,0.665466,letter,32
F,F,A-,A-,29,49,905,1.0419,1.1469,0.25287,letter,32
A+,A+,O-,O-,26,48,423,1.0417,0.9852,0.665466,letter,32
I,I,T+,T+,26,48,950,1.0411,1.2460,0.665466,letter,32
X+,X+,A,A,29,50,2206,1.0408,0.8579,0.322236,letter,32
O,O,X,X,26,49,1605,1.0399,1.0974,0.77545,letter,32
A-,A-,B,B,25,49,1466,1.0398,0.8905,1,letter,32
Z,Z,K,K,27,49,1273,1.0394,1.2059,0.568172,letter,32
T-,T-,X+,X+,27,49,1110,1.0392,1.1183,0.568172,letter,32
T,T,O,O,30,50,1512,1.0392,0.9470,0.202639,letter,32
Q,Q,A-,A-,28,50,2098,1.0391,0.9418,0.479888,letter,32
M,M,G,G,29,49,997,1.0387,0.9976,0.25287,letter,32
T-,T-,C,C,24,47,202,1.0386,0.7450,1,letter,32
Z,Z,I,I,28,49,1578,1.0383,1.1010,0.391603,letter,32
M,M,S+,S+,30,49,2319,1.0381,1.2918,0.152408,letter,32
M,M,O,O,27,49,2092,1.0378,1.0160,0.568172,letter,32
N+,N+,E+,E+,26,49,1148,1.0375,0.8014,0.77545,letter,32
S,S,G+,G+,22,42,51,1.0371,1.6457,0.877614,letter,32
A-,A-,C,C,27,49,569,1.0367,0.6578,0.568172,letter,32
X,X,A+,A+,28,50,2034,1.0366,0.7149,0.479888,letter,32
T,T,Q,Q,29,49,1934,1.0366,1.0743,0.25287,letter,32
B-,B-,T-,T-,26,49,162,1.0365,1.0691,0.77545,letter,32
K,K,X+,X+,28,49,847,1.0360,0.6350,0.391603,letter,32
